frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746755966.286145000","0.000000000","0.000000000","1","60","100.64.0.2","47500","100.64.0.1","23557","0","0","0"
"1746755966.292318000","0.006173000","0.006173000","2","60","100.64.0.1","23557","100.64.0.2","47500","0","0","1"
"1746755966.599792000","0.313647000","0.313647000","3","52","100.64.0.2","47500","100.64.0.1","23557","0","1","1"
"1746755966.599806000","0.313661000","0.313661000","4","100","100.64.0.2","47500","100.64.0.1","23557","48","1","1"
"1746755966.599810000","0.313665000","0.313665000","5","100","100.64.0.2","47500","100.64.0.1","23557","48","49","1"
"1746755966.599814000","0.313669000","0.313669000","6","100","100.64.0.2","47500","100.64.0.1","23557","48","97","1"
"1746755966.599819000","0.313674000","0.313674000","7","61","100.64.0.2","47500","100.64.0.1","23557","9","145","1"
"1746755966.604072000","0.317927000","0.317927000","8","52","100.64.0.1","23557","100.64.0.2","47500","0","1","49"
"1746755966.604092000","0.317947000","0.317947000","9","52","100.64.0.1","23557","100.64.0.2","47500","0","1","97"
"1746755966.604097000","0.317952000","0.317952000","10","52","100.64.0.1","23557","100.64.0.2","47500","0","1","145"
"1746755966.604101000","0.317956000","0.317956000","11","52","100.64.0.1","23557","100.64.0.2","47500","0","1","154"
"1746755966.604106000","0.317961000","0.317961000","12","296","100.64.0.1","23557","100.64.0.2","47500","244","1","154"
"1746755966.604110000","0.317965000","0.317965000","13","296","100.64.0.1","23557","100.64.0.2","47500","244","245","154"
"1746755966.604114000","0.317969000","0.317969000","14","296","100.64.0.1","23557","100.64.0.2","47500","244","489","154"
"1746755966.604118000","0.317973000","0.317973000","15","296","100.64.0.1","23557","100.64.0.2","47500","244","733","154"
"1746755966.604122000","0.317977000","0.317977000","16","296","100.64.0.1","23557","100.64.0.2","47500","244","977","154"
"1746755966.604127000","0.317982000","0.317982000","17","296","100.64.0.1","23557","100.64.0.2","47500","244","1221","154"
"1746755966.604131000","0.317986000","0.317986000","18","296","100.64.0.1","23557","100.64.0.2","47500","244","1465","154"
"1746755966.605195000","0.319050000","0.319050000","19","296","100.64.0.1","23557","100.64.0.2","47500","244","1709","154"
"1746755966.605203000","0.319058000","0.319058000","20","296","100.64.0.1","23557","100.64.0.2","47500","244","1953","154"
"1746755966.605206000","0.319061000","0.319061000","21","296","100.64.0.1","23557","100.64.0.2","47500","244","2197","154"
"1746755966.911116000","0.624971000","0.624971000","22","52","100.64.0.2","47500","100.64.0.1","23557","0","154","245"
"1746755966.911132000","0.624987000","0.624987000","23","52","100.64.0.2","47500","100.64.0.1","23557","0","154","489"
"1746755966.911140000","0.624995000","0.624995000","24","52","100.64.0.2","47500","100.64.0.1","23557","0","154","733"
"1746755966.911148000","0.625003000","0.625003000","25","52","100.64.0.2","47500","100.64.0.1","23557","0","154","977"
"1746755966.915394000","0.629249000","0.629249000","26","296","100.64.0.1","23557","100.64.0.2","47500","244","2441","154"
"1746755966.920837000","0.634692000","0.634692000","27","296","100.64.0.1","23557","100.64.0.2","47500","244","2685","154"
"1746755966.931790000","0.645645000","0.645645000","28","296","100.64.0.1","23557","100.64.0.2","47500","244","2929","154"
"1746755966.942743000","0.656598000","0.656598000","29","296","100.64.0.1","23557","100.64.0.2","47500","244","3173","154"
"1746755966.945418000","0.659273000",,"30","76",,,,,,,
"1746755966.945432000","0.659287000",,"31","48",,,,,,,
