frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746756640.929246000","0.000000000",,"1","76",,,,,,,
"1746756641.093847000","0.164601000","0.000000000","2","60","100.64.0.2","35446","100.64.0.1","23557","0","0","0"
"1746756641.099173000","0.169927000","0.005326000","3","60","100.64.0.1","23557","100.64.0.2","35446","0","0","1"
"1746756641.406910000","0.477664000","0.313063000","4","52","100.64.0.2","35446","100.64.0.1","23557","0","1","1"
"1746756641.406928000","0.477682000","0.313081000","5","100","100.64.0.2","35446","100.64.0.1","23557","48","1","1"
"1746756641.406937000","0.477691000","0.313090000","6","100","100.64.0.2","35446","100.64.0.1","23557","48","49","1"
"1746756641.406945000","0.477699000","0.313098000","7","100","100.64.0.2","35446","100.64.0.1","23557","48","97","1"
"1746756641.406953000","0.477707000","0.313106000","8","61","100.64.0.2","35446","100.64.0.1","23557","9","145","1"
"1746756641.411301000","0.482055000","0.317454000","9","52","100.64.0.1","23557","100.64.0.2","35446","0","1","49"
"1746756641.411314000","0.482068000","0.317467000","10","52","100.64.0.1","23557","100.64.0.2","35446","0","1","97"
"1746756641.411319000","0.482073000","0.317472000","11","52","100.64.0.1","23557","100.64.0.2","35446","0","1","154"
"1746756641.412386000","0.483140000","0.318539000","12","296","100.64.0.1","23557","100.64.0.2","35446","244","1","154"
"1746756641.412394000","0.483148000","0.318547000","13","296","100.64.0.1","23557","100.64.0.2","35446","244","245","154"
"1746756641.412400000","0.483154000","0.318553000","14","296","100.64.0.1","23557","100.64.0.2","35446","244","489","154"
"1746756641.412405000","0.483159000","0.318558000","15","296","100.64.0.1","23557","100.64.0.2","35446","244","733","154"
"1746756641.412411000","0.483165000","0.318564000","16","296","100.64.0.1","23557","100.64.0.2","35446","244","977","154"
"1746756641.412416000","0.483170000","0.318569000","17","296","100.64.0.1","23557","100.64.0.2","35446","244","1221","154"
"1746756641.412422000","0.483176000","0.318575000","18","296","100.64.0.1","23557","100.64.0.2","35446","244","1465","154"
"1746756641.412428000","0.483182000","0.318581000","19","296","100.64.0.1","23557","100.64.0.2","35446","244","1709","154"
"1746756641.412433000","0.483187000","0.318586000","20","296","100.64.0.1","23557","100.64.0.2","35446","244","1953","154"
"1746756641.412439000","0.483193000","0.318592000","21","296","100.64.0.1","23557","100.64.0.2","35446","244","2197","154"
"1746756641.439244000","0.509998000",,"22","76",,,,,,,
"1746756641.441415000","0.512169000",,"23","76",,,,,,,
"1746756641.441426000","0.512180000",,"24","48",,,,,,,
"1746756641.445318000","0.516072000",,"25","76",,,,,,,
"1746756641.719026000","0.789780000","0.625179000","26","52","100.64.0.2","35446","100.64.0.1","23557","0","154","245"
"1746756641.719042000","0.789796000","0.625195000","27","52","100.64.0.2","35446","100.64.0.1","23557","0","154","489"
"1746756641.719051000","0.789805000","0.625204000","28","52","100.64.0.2","35446","100.64.0.1","23557","0","154","733"
"1746756641.719059000","0.789813000","0.625212000","29","52","100.64.0.2","35446","100.64.0.1","23557","0","154","977"
"1746756641.723399000","0.794153000","0.629552000","30","296","100.64.0.1","23557","100.64.0.2","35446","244","2441","154"
"1746756641.723413000","0.794167000","0.629566000","31","296","100.64.0.1","23557","100.64.0.2","35446","244","2685","154"
"1746756641.723419000","0.794173000","0.629572000","32","296","100.64.0.1","23557","100.64.0.2","35446","244","2929","154"
"1746756641.723423000","0.794177000","0.629576000","33","296","100.64.0.1","23557","100.64.0.2","35446","244","3173","154"
"1746756641.723428000","0.794182000","0.629581000","34","296","100.64.0.1","23557","100.64.0.2","35446","244","3417","154"
"1746756641.723432000","0.794186000","0.629585000","35","296","100.64.0.1","23557","100.64.0.2","35446","244","3661","154"
"1746756641.723436000","0.794190000","0.629589000","36","296","100.64.0.1","23557","100.64.0.2","35446","244","3905","154"
"1746756641.723441000","0.794195000","0.629594000","37","296","100.64.0.1","23557","100.64.0.2","35446","244","4149","154"
"1746756641.761408000","0.832162000",,"38","76",,,,,,,
"1746756641.781185000","0.851939000","0.687338000","39","52","100.64.0.2","35446","100.64.0.1","23557","0","154","1221"
"1746756641.781195000","0.851949000","0.687348000","40","52","100.64.0.2","35446","100.64.0.1","23557","0","154","1953"
"1746756641.781199000","0.851953000","0.687352000","41","52","100.64.0.2","35446","100.64.0.1","23557","0","154","2197"
"1746756641.785501000","0.856255000","0.691654000","42","296","100.64.0.1","23557","100.64.0.2","35446","244","4393","154"
"1746756641.785514000","0.856268000","0.691667000","43","296","100.64.0.1","23557","100.64.0.2","35446","244","4637","154"
"1746756641.785519000","0.856273000","0.691672000","44","296","100.64.0.1","23557","100.64.0.2","35446","244","4881","154"
"1746756641.785522000","0.856276000","0.691675000","45","296","100.64.0.1","23557","100.64.0.2","35446","244","5125","154"
"1746756641.785526000","0.856280000","0.691679000","46","296","100.64.0.1","23557","100.64.0.2","35446","244","5369","154"
"1746756641.785530000","0.856284000","0.691683000","47","296","100.64.0.1","23557","100.64.0.2","35446","244","5613","154"
"1746756641.785533000","0.856287000","0.691686000","48","296","100.64.0.1","23557","100.64.0.2","35446","244","5857","154"
"1746756641.785537000","0.856291000","0.691690000","49","296","100.64.0.1","23557","100.64.0.2","35446","244","6101","154"
"1746756641.785541000","0.856295000","0.691694000","50","296","100.64.0.1","23557","100.64.0.2","35446","244","6345","154"
"1746756641.785544000","0.856298000","0.691697000","51","296","100.64.0.1","23557","100.64.0.2","35446","244","6589","154"
"1746756641.843291000","0.914045000","0.749444000","52","52","100.64.0.2","35446","100.64.0.1","23557","0","154","2441"
"1746756641.847559000","0.918313000","0.753712000","53","296","100.64.0.1","23557","100.64.0.2","35446","244","6833","154"
"1746756641.847575000","0.918329000","0.753728000","54","296","100.64.0.1","23557","100.64.0.2","35446","244","7077","154"
"1746756641.945375000","1.016129000",,"55","76",,,,,,,
"1746756642.031263000","1.102017000","0.937416000","56","52","100.64.0.2","35446","100.64.0.1","23557","0","154","2685"
"1746756642.031277000","1.102031000","0.937430000","57","52","100.64.0.2","35446","100.64.0.1","23557","0","154","2929"
"1746756642.031284000","1.102038000","0.937437000","58","52","100.64.0.2","35446","100.64.0.1","23557","0","154","3173"
"1746756642.031290000","1.102044000","0.937443000","59","52","100.64.0.2","35446","100.64.0.1","23557","0","154","3417"
"1746756642.031297000","1.102051000","0.937450000","60","52","100.64.0.2","35446","100.64.0.1","23557","0","154","3661"
"1746756642.035657000","1.106411000","0.941810000","61","296","100.64.0.1","23557","100.64.0.2","35446","244","7321","154"
"1746756642.035678000","1.106432000","0.941831000","62","296","100.64.0.1","23557","100.64.0.2","35446","244","7565","154"
"1746756642.035686000","1.106440000","0.941839000","63","296","100.64.0.1","23557","100.64.0.2","35446","244","7809","154"
"1746756642.035693000","1.106447000","0.941846000","64","296","100.64.0.1","23557","100.64.0.2","35446","244","8053","154"
"1746756642.035701000","1.106455000","0.941854000","65","296","100.64.0.1","23557","100.64.0.2","35446","244","8297","154"
"1746756642.035707000","1.106461000","0.941860000","66","296","100.64.0.1","23557","100.64.0.2","35446","244","8541","154"
"1746756642.035714000","1.106468000","0.941867000","67","296","100.64.0.1","23557","100.64.0.2","35446","244","8785","154"
"1746756642.035721000","1.106475000","0.941874000","68","296","100.64.0.1","23557","100.64.0.2","35446","244","9029","154"
"1746756642.035728000","1.106482000","0.941881000","69","296","100.64.0.1","23557","100.64.0.2","35446","244","9273","154"
"1746756642.035735000","1.106489000","0.941888000","70","296","100.64.0.1","23557","100.64.0.2","35446","244","9517","154"
"1746756642.093445000","1.164199000","0.999598000","71","52","100.64.0.2","35446","100.64.0.1","23557","0","154","3905"
"1746756642.093465000","1.164219000","0.999618000","72","52","100.64.0.2","35446","100.64.0.1","23557","0","154","4149"
"1746756642.093478000","1.164232000","0.999631000","73","52","100.64.0.2","35446","100.64.0.1","23557","0","154","4393"
"1746756642.093486000","1.164240000","0.999639000","74","52","100.64.0.2","35446","100.64.0.1","23557","0","154","4881"
"1746756642.097829000","1.168583000","1.003982000","75","296","100.64.0.1","23557","100.64.0.2","35446","244","9761","154"
"1746756642.097847000","1.168601000","1.004000000","76","296","100.64.0.1","23557","100.64.0.2","35446","244","10005","154"
"1746756642.097854000","1.168608000","1.004007000","77","296","100.64.0.1","23557","100.64.0.2","35446","244","10249","154"
"1746756642.097860000","1.168614000","1.004013000","78","296","100.64.0.1","23557","100.64.0.2","35446","244","10493","154"
"1746756642.097865000","1.168619000","1.004018000","79","296","100.64.0.1","23557","100.64.0.2","35446","244","10737","154"
"1746756642.097871000","1.168625000","1.004024000","80","296","100.64.0.1","23557","100.64.0.2","35446","244","10981","154"
"1746756642.097876000","1.168630000","1.004029000","81","296","100.64.0.1","23557","100.64.0.2","35446","244","11225","154"
"1746756642.097882000","1.168636000","1.004035000","82","296","100.64.0.1","23557","100.64.0.2","35446","244","11469","154"
"1746756642.097888000","1.168642000","1.004041000","83","296","100.64.0.1","23557","100.64.0.2","35446","244","11713","154"
"1746756642.097893000","1.168647000","1.004046000","84","296","100.64.0.1","23557","100.64.0.2","35446","244","11957","154"
"1746756642.156581000","1.227335000","1.062734000","85","52","100.64.0.2","35446","100.64.0.1","23557","0","154","6101"
"1746756642.160960000","1.231714000","1.067113000","86","296","100.64.0.1","23557","100.64.0.2","35446","244","12201","154"
"1746756642.160976000","1.231730000","1.067129000","87","296","100.64.0.1","23557","100.64.0.2","35446","244","12445","154"
"1746756642.160983000","1.231737000","1.067136000","88","296","100.64.0.1","23557","100.64.0.2","35446","244","12689","154"
"1746756642.160988000","1.231742000","1.067141000","89","296","100.64.0.1","23557","100.64.0.2","35446","244","12933","154"
"1746756642.160994000","1.231748000","1.067147000","90","296","100.64.0.1","23557","100.64.0.2","35446","244","13177","154"
"1746756642.160999000","1.231753000","1.067152000","91","296","100.64.0.1","23557","100.64.0.2","35446","244","13421","154"
"1746756642.161005000","1.231759000","1.067158000","92","296","100.64.0.1","23557","100.64.0.2","35446","244","13665","154"
"1746756642.161010000","1.231764000","1.067163000","93","296","100.64.0.1","23557","100.64.0.2","35446","244","13909","154"
"1746756642.161016000","1.231770000","1.067169000","94","296","100.64.0.1","23557","100.64.0.2","35446","244","14153","154"
"1746756642.161021000","1.231775000","1.067174000","95","296","100.64.0.1","23557","100.64.0.2","35446","244","14397","154"
"1746756642.218680000","1.289434000","1.124833000","96","52","100.64.0.2","35446","100.64.0.1","23557","0","154","6833"
"1746756642.218697000","1.289451000","1.124850000","97","52","100.64.0.2","35446","100.64.0.1","23557","0","154","7321"
"1746756642.223036000","1.293790000","1.129189000","98","296","100.64.0.1","23557","100.64.0.2","35446","244","14641","154"
"1746756642.223050000","1.293804000","1.129203000","99","296","100.64.0.1","23557","100.64.0.2","35446","244","14885","154"
"1746756642.223055000","1.293809000","1.129208000","100","296","100.64.0.1","23557","100.64.0.2","35446","244","15129","154"
"1746756642.223060000","1.293814000","1.129213000","101","296","100.64.0.1","23557","100.64.0.2","35446","244","15373","154"
"1746756642.223065000","1.293819000","1.129218000","102","296","100.64.0.1","23557","100.64.0.2","35446","244","15617","154"
"1746756642.223069000","1.293823000","1.129222000","103","296","100.64.0.1","23557","100.64.0.2","35446","244","15861","154"
"1746756642.223074000","1.293828000","1.129227000","104","296","100.64.0.1","23557","100.64.0.2","35446","244","16105","154"
"1746756642.223078000","1.293832000","1.129231000","105","296","100.64.0.1","23557","100.64.0.2","35446","244","16349","154"
"1746756642.223082000","1.293836000","1.129235000","106","296","100.64.0.1","23557","100.64.0.2","35446","244","16593","154"
"1746756642.223087000","1.293841000","1.129240000","107","296","100.64.0.1","23557","100.64.0.2","35446","244","16837","154"
"1746756642.343684000","1.414438000","1.249837000","108","52","100.64.0.2","35446","100.64.0.1","23557","0","154","8541"
"1746756642.348030000","1.418784000","1.254183000","109","296","100.64.0.1","23557","100.64.0.2","35446","244","17081","154"
"1746756642.348050000","1.418804000","1.254203000","110","296","100.64.0.1","23557","100.64.0.2","35446","244","17325","154"
"1746756642.348058000","1.418812000","1.254211000","111","296","100.64.0.1","23557","100.64.0.2","35446","244","17569","154"
"1746756642.348065000","1.418819000","1.254218000","112","296","100.64.0.1","23557","100.64.0.2","35446","244","17813","154"
"1746756642.348072000","1.418826000","1.254225000","113","296","100.64.0.1","23557","100.64.0.2","35446","244","18057","154"
"1746756642.348079000","1.418833000","1.254232000","114","296","100.64.0.1","23557","100.64.0.2","35446","244","18301","154"
"1746756642.348086000","1.418840000","1.254239000","115","296","100.64.0.1","23557","100.64.0.2","35446","244","18545","154"
"1746756642.348093000","1.418847000","1.254246000","116","296","100.64.0.1","23557","100.64.0.2","35446","244","18789","154"
"1746756642.348100000","1.418854000","1.254253000","117","296","100.64.0.1","23557","100.64.0.2","35446","244","19033","154"
"1746756642.348107000","1.418861000","1.254260000","118","296","100.64.0.1","23557","100.64.0.2","35446","244","19277","154"
