frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746756674.740234000","0.000000000","0.000000000","1","60","100.64.0.2","55452","100.64.0.1","23557","0","0","0"
"1746756674.746108000","0.005874000","0.005874000","2","60","100.64.0.1","23557","100.64.0.2","55452","0","0","1"
"1746756674.927825000","0.187591000","0.187591000","3","52","100.64.0.2","55452","100.64.0.1","23557","0","1","1"
"1746756674.927842000","0.187608000","0.187608000","4","100","100.64.0.2","55452","100.64.0.1","23557","48","1","1"
"1746756674.927851000","0.187617000","0.187617000","5","100","100.64.0.2","55452","100.64.0.1","23557","48","49","1"
"1746756674.927858000","0.187624000","0.187624000","6","100","100.64.0.2","55452","100.64.0.1","23557","48","97","1"
"1746756674.927866000","0.187632000","0.187632000","7","61","100.64.0.2","55452","100.64.0.1","23557","9","145","1"
"1746756674.932582000","0.192348000","0.192348000","8","52","100.64.0.1","23557","100.64.0.2","55452","0","1","49"
"1746756674.932596000","0.192362000","0.192362000","9","52","100.64.0.1","23557","100.64.0.2","55452","0","1","97"
"1746756674.932601000","0.192367000","0.192367000","10","52","100.64.0.1","23557","100.64.0.2","55452","0","1","145"
"1746756674.932606000","0.192372000","0.192372000","11","52","100.64.0.1","23557","100.64.0.2","55452","0","1","154"
"1746756674.933691000","0.193457000","0.193457000","12","296","100.64.0.1","23557","100.64.0.2","55452","244","1","154"
"1746756674.933711000","0.193477000","0.193477000","13","296","100.64.0.1","23557","100.64.0.2","55452","244","245","154"
"1746756674.933719000","0.193485000","0.193485000","14","296","100.64.0.1","23557","100.64.0.2","55452","244","489","154"
"1746756674.933726000","0.193492000","0.193492000","15","296","100.64.0.1","23557","100.64.0.2","55452","244","733","154"
"1746756674.933733000","0.193499000","0.193499000","16","296","100.64.0.1","23557","100.64.0.2","55452","244","977","154"
"1746756674.933740000","0.193506000","0.193506000","17","296","100.64.0.1","23557","100.64.0.2","55452","244","1221","154"
"1746756674.933747000","0.193513000","0.193513000","18","296","100.64.0.1","23557","100.64.0.2","55452","244","1465","154"
"1746756674.933754000","0.193520000","0.193520000","19","296","100.64.0.1","23557","100.64.0.2","55452","244","1709","154"
"1746756674.933761000","0.193527000","0.193527000","20","296","100.64.0.1","23557","100.64.0.2","55452","244","1953","154"
"1746756674.933768000","0.193534000","0.193534000","21","296","100.64.0.1","23557","100.64.0.2","55452","244","2197","154"
"1746756675.115770000","0.375536000","0.375536000","22","52","100.64.0.2","55452","100.64.0.1","23557","0","154","245"
"1746756675.115782000","0.375548000","0.375548000","23","52","100.64.0.2","55452","100.64.0.1","23557","0","154","489"
"1746756675.115790000","0.375556000","0.375556000","24","52","100.64.0.2","55452","100.64.0.1","23557","0","154","733"
"1746756675.115796000","0.375562000","0.375562000","25","52","100.64.0.2","55452","100.64.0.1","23557","0","154","977"
"1746756675.119133000","0.378899000","0.378899000","26","296","100.64.0.1","23557","100.64.0.2","55452","244","2441","154"
"1746756675.119149000","0.378915000","0.378915000","27","296","100.64.0.1","23557","100.64.0.2","55452","244","2685","154"
"1746756675.120251000","0.380017000","0.380017000","28","296","100.64.0.1","23557","100.64.0.2","55452","244","2929","154"
"1746756675.120270000","0.380036000","0.380036000","29","296","100.64.0.1","23557","100.64.0.2","55452","244","3173","154"
"1746756675.120279000","0.380045000","0.380045000","30","296","100.64.0.1","23557","100.64.0.2","55452","244","3417","154"
"1746756675.120285000","0.380051000","0.380051000","31","296","100.64.0.1","23557","100.64.0.2","55452","244","3661","154"
"1746756675.120292000","0.380058000","0.380058000","32","296","100.64.0.1","23557","100.64.0.2","55452","244","3905","154"
"1746756675.120299000","0.380065000","0.380065000","33","296","100.64.0.1","23557","100.64.0.2","55452","244","4149","154"
"1746756675.177671000","0.437437000","0.437437000","34","52","100.64.0.2","55452","100.64.0.1","23557","0","154","1221"
"1746756675.177681000","0.437447000","0.437447000","35","52","100.64.0.2","55452","100.64.0.1","23557","0","154","1465"
"1746756675.177687000","0.437453000","0.437453000","36","52","100.64.0.2","55452","100.64.0.1","23557","0","154","1709"
"1746756675.177693000","0.437459000","0.437459000","37","52","100.64.0.2","55452","100.64.0.1","23557","0","154","1953"
"1746756675.177700000","0.437466000","0.437466000","38","52","100.64.0.2","55452","100.64.0.1","23557","0","154","2197"
"1746756675.182047000","0.441813000","0.441813000","39","296","100.64.0.1","23557","100.64.0.2","55452","244","4393","154"
"1746756675.182068000","0.441834000","0.441834000","40","296","100.64.0.1","23557","100.64.0.2","55452","244","4637","154"
"1746756675.182076000","0.441842000","0.441842000","41","296","100.64.0.1","23557","100.64.0.2","55452","244","4881","154"
"1746756675.182083000","0.441849000","0.441849000","42","296","100.64.0.1","23557","100.64.0.2","55452","244","5125","154"
"1746756675.182090000","0.441856000","0.441856000","43","296","100.64.0.1","23557","100.64.0.2","55452","244","5369","154"
"1746756675.182097000","0.441863000","0.441863000","44","296","100.64.0.1","23557","100.64.0.2","55452","244","5613","154"
"1746756675.182104000","0.441870000","0.441870000","45","296","100.64.0.1","23557","100.64.0.2","55452","244","5857","154"
"1746756675.182111000","0.441877000","0.441877000","46","296","100.64.0.1","23557","100.64.0.2","55452","244","6101","154"
"1746756675.182118000","0.441884000","0.441884000","47","296","100.64.0.1","23557","100.64.0.2","55452","244","6345","154"
