frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746755898.610269000","0.000000000",,"1","76",,,,,,,
"1746755898.610284000","0.000015000",,"2","48",,,,,,,
"1746755898.612351000","0.002082000",,"3","76",,,,,,,
"1746755898.772452000","0.162183000","0.000000000","4","60","100.64.0.2","35368","100.64.0.1","23557","0","0","0"
"1746755898.777534000","0.167265000","0.005082000","5","60","100.64.0.1","23557","100.64.0.2","35368","0","0","1"
"1746755898.833408000","0.223139000",,"6","76",,,,,,,
"1746755898.919281000","0.309012000",,"7","76",,,,,,,
"1746755898.919295000","0.309026000",,"8","48",,,,,,,
"1746755898.922264000","0.311995000",,"9","76",,,,,,,
"1746755898.937332000","0.327063000",,"10","76",,,,,,,
"1746755898.991234000","0.380965000",,"11","76",,,,,,,
"1746755899.086101000","0.475832000","0.313649000","12","52","100.64.0.2","35368","100.64.0.1","23557","0","1","1"
"1746755899.086118000","0.475849000","0.313666000","13","100","100.64.0.2","35368","100.64.0.1","23557","48","1","1"
"1746755899.086127000","0.475858000","0.313675000","14","100","100.64.0.2","35368","100.64.0.1","23557","48","49","1"
"1746755899.086135000","0.475866000","0.313683000","15","100","100.64.0.2","35368","100.64.0.1","23557","48","97","1"
"1746755899.086143000","0.475874000","0.313691000","16","61","100.64.0.2","35368","100.64.0.1","23557","9","145","1"
"1746755899.090937000","0.480668000","0.318485000","17","52","100.64.0.1","23557","100.64.0.2","35368","0","1","49"
"1746755899.090951000","0.480682000","0.318499000","18","52","100.64.0.1","23557","100.64.0.2","35368","0","1","97"
"1746755899.090956000","0.480687000","0.318504000","19","52","100.64.0.1","23557","100.64.0.2","35368","0","1","145"
"1746755899.090960000","0.480691000","0.318508000","20","52","100.64.0.1","23557","100.64.0.2","35368","0","1","154"
"1746755899.092026000","0.481757000","0.319574000","21","296","100.64.0.1","23557","100.64.0.2","35368","244","1","154"
"1746755899.092035000","0.481766000","0.319583000","22","296","100.64.0.1","23557","100.64.0.2","35368","244","245","154"
"1746755899.092040000","0.481771000","0.319588000","23","296","100.64.0.1","23557","100.64.0.2","35368","244","489","154"
"1746755899.092046000","0.481777000","0.319594000","24","296","100.64.0.1","23557","100.64.0.2","35368","244","733","154"
"1746755899.092051000","0.481782000","0.319599000","25","296","100.64.0.1","23557","100.64.0.2","35368","244","977","154"
"1746755899.092056000","0.481787000","0.319604000","26","296","100.64.0.1","23557","100.64.0.2","35368","244","1221","154"
"1746755899.092062000","0.481793000","0.319610000","27","296","100.64.0.1","23557","100.64.0.2","35368","244","1465","154"
"1746755899.092067000","0.481798000","0.319615000","28","296","100.64.0.1","23557","100.64.0.2","35368","244","1709","154"
"1746755899.092072000","0.481803000","0.319620000","29","296","100.64.0.1","23557","100.64.0.2","35368","244","1953","154"
"1746755899.092077000","0.481808000","0.319625000","30","296","100.64.0.1","23557","100.64.0.2","35368","244","2197","154"
"1746755899.224237000","0.613968000",,"31","76",,,,,,,
"1746755899.397148000","0.786879000","0.624696000","32","52","100.64.0.2","35368","100.64.0.1","23557","0","154","245"
"1746755899.397159000","0.786890000","0.624707000","33","52","100.64.0.2","35368","100.64.0.1","23557","0","154","489"
"1746755899.397165000","0.786896000","0.624713000","34","52","100.64.0.2","35368","100.64.0.1","23557","0","154","733"
"1746755899.397170000","0.786901000","0.624718000","35","52","100.64.0.2","35368","100.64.0.1","23557","0","154","977"
"1746755899.401433000","0.791164000","0.628981000","36","296","100.64.0.1","23557","100.64.0.2","35368","244","2441","154"
"1746755899.401448000","0.791179000","0.628996000","37","296","100.64.0.1","23557","100.64.0.2","35368","244","2685","154"
"1746755899.401454000","0.791185000","0.629002000","38","296","100.64.0.1","23557","100.64.0.2","35368","244","2929","154"
"1746755899.401460000","0.791191000","0.629008000","39","296","100.64.0.1","23557","100.64.0.2","35368","244","3173","154"
"1746755899.401465000","0.791196000","0.629013000","40","296","100.64.0.1","23557","100.64.0.2","35368","244","3417","154"
"1746755899.401471000","0.791202000","0.629019000","41","296","100.64.0.1","23557","100.64.0.2","35368","244","3661","154"
"1746755899.401476000","0.791207000","0.629024000","42","296","100.64.0.1","23557","100.64.0.2","35368","244","3905","154"
