frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746756775.977336000","0.000000000",,"1","76",,,,,,,
"1746756776.043118000","0.065782000","0.000000000","2","60","100.64.0.2","38620","100.64.0.1","23557","0","0","0"
"1746756776.048262000","0.070926000","0.005144000","3","60","100.64.0.1","23557","100.64.0.2","38620","0","0","1"
"1746756776.257363000","0.280027000",,"4","76",,,,,,,
"1746756776.356118000","0.378782000","0.313000000","5","52","100.64.0.2","38620","100.64.0.1","23557","0","1","1"
"1746756776.356141000","0.378805000","0.313023000","6","100","100.64.0.2","38620","100.64.0.1","23557","48","1","1"
"1746756776.356153000","0.378817000","0.313035000","7","100","100.64.0.2","38620","100.64.0.1","23557","48","49","1"
"1746756776.356163000","0.378827000","0.313045000","8","100","100.64.0.2","38620","100.64.0.1","23557","48","97","1"
"1746756776.356170000","0.378834000","0.313052000","9","61","100.64.0.2","38620","100.64.0.1","23557","9","145","1"
"1746756776.360430000","0.383094000","0.317312000","10","52","100.64.0.1","23557","100.64.0.2","38620","0","1","49"
"1746756776.360441000","0.383105000","0.317323000","11","52","100.64.0.1","23557","100.64.0.2","38620","0","1","97"
"1746756776.360446000","0.383110000","0.317328000","12","52","100.64.0.1","23557","100.64.0.2","38620","0","1","145"
"1746756776.360451000","0.383115000","0.317333000","13","52","100.64.0.1","23557","100.64.0.2","38620","0","1","154"
"1746756776.361519000","0.384183000","0.318401000","14","296","100.64.0.1","23557","100.64.0.2","38620","244","1","154"
"1746756776.361529000","0.384193000","0.318411000","15","296","100.64.0.1","23557","100.64.0.2","38620","244","245","154"
"1746756776.361535000","0.384199000","0.318417000","16","296","100.64.0.1","23557","100.64.0.2","38620","244","489","154"
"1746756776.361541000","0.384205000","0.318423000","17","296","100.64.0.1","23557","100.64.0.2","38620","244","733","154"
"1746756776.361546000","0.384210000","0.318428000","18","296","100.64.0.1","23557","100.64.0.2","38620","244","977","154"
"1746756776.361550000","0.384214000","0.318432000","19","296","100.64.0.1","23557","100.64.0.2","38620","244","1221","154"
"1746756776.361554000","0.384218000","0.318436000","20","296","100.64.0.1","23557","100.64.0.2","38620","244","1465","154"
"1746756776.361559000","0.384223000","0.318441000","21","296","100.64.0.1","23557","100.64.0.2","38620","244","1709","154"
"1746756776.361563000","0.384227000","0.318445000","22","296","100.64.0.1","23557","100.64.0.2","38620","244","1953","154"
"1746756776.361568000","0.384232000","0.318450000","23","296","100.64.0.1","23557","100.64.0.2","38620","244","2197","154"
"1746756776.415264000","0.437928000",,"24","76",,,,,,,
"1746756776.415276000","0.437940000",,"25","48",,,,,,,
"1746756776.418231000","0.440895000",,"26","76",,,,,,,
"1746756776.667791000","0.690455000","0.624673000","27","52","100.64.0.2","38620","100.64.0.1","23557","0","154","245"
"1746756776.667812000","0.690476000","0.624694000","28","52","100.64.0.2","38620","100.64.0.1","23557","0","154","489"
"1746756776.667824000","0.690488000","0.624706000","29","52","100.64.0.2","38620","100.64.0.1","23557","0","154","733"
"1746756776.667834000","0.690498000","0.624716000","30","52","100.64.0.2","38620","100.64.0.1","23557","0","154","977"
"1746756776.671107000","0.693771000","0.627989000","31","296","100.64.0.1","23557","100.64.0.2","38620","244","2441","154"
"1746756776.671120000","0.693784000","0.628002000","32","296","100.64.0.1","23557","100.64.0.2","38620","244","2685","154"
"1746756776.672188000","0.694852000","0.629070000","33","296","100.64.0.1","23557","100.64.0.2","38620","244","2929","154"
"1746756776.672195000","0.694859000","0.629077000","34","296","100.64.0.1","23557","100.64.0.2","38620","244","3173","154"
"1746756776.672201000","0.694865000","0.629083000","35","296","100.64.0.1","23557","100.64.0.2","38620","244","3417","154"
"1746756776.672206000","0.694870000","0.629088000","36","296","100.64.0.1","23557","100.64.0.2","38620","244","3661","154"
"1746756776.672212000","0.694876000","0.629094000","37","296","100.64.0.1","23557","100.64.0.2","38620","244","3905","154"
"1746756776.672244000","0.694908000","0.629126000","38","296","100.64.0.1","23557","100.64.0.2","38620","244","4149","154"
"1746756776.730853000","0.753517000","0.687735000","39","52","100.64.0.2","38620","100.64.0.1","23557","0","154","1221"
"1746756776.730865000","0.753529000","0.687747000","40","52","100.64.0.2","38620","100.64.0.1","23557","0","154","1465"
"1746756776.730871000","0.753535000","0.687753000","41","52","100.64.0.2","38620","100.64.0.1","23557","0","154","1709"
"1746756776.730876000","0.753540000","0.687758000","42","52","100.64.0.2","38620","100.64.0.1","23557","0","154","1953"
"1746756776.730881000","0.753545000","0.687763000","43","52","100.64.0.2","38620","100.64.0.1","23557","0","154","2197"
"1746756776.735177000","0.757841000","0.692059000","44","296","100.64.0.1","23557","100.64.0.2","38620","244","4393","154"
"1746756776.735188000","0.757852000","0.692070000","45","296","100.64.0.1","23557","100.64.0.2","38620","244","4637","154"
"1746756776.735193000","0.757857000","0.692075000","46","296","100.64.0.1","23557","100.64.0.2","38620","244","4881","154"
"1746756776.735197000","0.757861000","0.692079000","47","296","100.64.0.1","23557","100.64.0.2","38620","244","5125","154"
"1746756776.735201000","0.757865000","0.692083000","48","296","100.64.0.1","23557","100.64.0.2","38620","244","5369","154"
"1746756776.735206000","0.757870000","0.692088000","49","296","100.64.0.1","23557","100.64.0.2","38620","244","5613","154"
"1746756776.735210000","0.757874000","0.692092000","50","296","100.64.0.1","23557","100.64.0.2","38620","244","5857","154"
"1746756776.735221000","0.757885000","0.692103000","51","296","100.64.0.1","23557","100.64.0.2","38620","244","6101","154"
"1746756776.735226000","0.757890000","0.692108000","52","296","100.64.0.1","23557","100.64.0.2","38620","244","6345","154"
"1746756776.735230000","0.757894000","0.692112000","53","296","100.64.0.1","23557","100.64.0.2","38620","244","6589","154"
"1746756776.792963000","0.815627000","0.749845000","54","52","100.64.0.2","38620","100.64.0.1","23557","0","154","2441"
"1746756776.797198000","0.819862000","0.754080000","55","296","100.64.0.1","23557","100.64.0.2","38620","244","6833","154"
"1746756776.797211000","0.819875000","0.754093000","56","296","100.64.0.1","23557","100.64.0.2","38620","244","7077","154"
"1746756776.855239000","0.877903000",,"57","76",,,,,,,
"1746756776.980836000","1.003500000","0.937718000","58","52","100.64.0.2","38620","100.64.0.1","23557","0","154","2685"
"1746756776.980852000","1.003516000","0.937734000","59","52","100.64.0.2","38620","100.64.0.1","23557","0","154","2929"
"1746756776.980860000","1.003524000","0.937742000","60","52","100.64.0.2","38620","100.64.0.1","23557","0","154","3173"
"1746756776.980868000","1.003532000","0.937750000","61","52","100.64.0.2","38620","100.64.0.1","23557","0","154","3417"
"1746756776.980875000","1.003539000","0.937757000","62","52","100.64.0.2","38620","100.64.0.1","23557","0","154","3661"
"1746756776.985187000","1.007851000","0.942069000","63","296","100.64.0.1","23557","100.64.0.2","38620","244","7321","154"
"1746756776.985204000","1.007868000","0.942086000","64","296","100.64.0.1","23557","100.64.0.2","38620","244","7565","154"
"1746756776.985211000","1.007875000","0.942093000","65","296","100.64.0.1","23557","100.64.0.2","38620","244","7809","154"
"1746756776.985226000","1.007890000","0.942108000","66","296","100.64.0.1","23557","100.64.0.2","38620","244","8053","154"
"1746756776.985232000","1.007896000","0.942114000","67","296","100.64.0.1","23557","100.64.0.2","38620","244","8297","154"
