frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746756404.788004000","0.000000000","0.000000000","1","60","100.64.0.2","38728","100.64.0.1","23557","0","0","0"
"1746756404.794128000","0.006124000","0.006124000","2","60","100.64.0.1","23557","100.64.0.2","38728","0","0","1"
"1746756404.974370000","0.186366000","0.186366000","3","52","100.64.0.2","38728","100.64.0.1","23557","0","1","1"
"1746756404.974379000","0.186375000","0.186375000","4","100","100.64.0.2","38728","100.64.0.1","23557","48","1","1"
"1746756404.974383000","0.186379000","0.186379000","5","100","100.64.0.2","38728","100.64.0.1","23557","48","49","1"
"1746756404.974386000","0.186382000","0.186382000","6","100","100.64.0.2","38728","100.64.0.1","23557","48","97","1"
"1746756404.974389000","0.186385000","0.186385000","7","61","100.64.0.2","38728","100.64.0.1","23557","9","145","1"
"1746756404.978393000","0.190389000","0.190389000","8","52","100.64.0.1","23557","100.64.0.2","38728","0","1","49"
"1746756404.978404000","0.190400000","0.190400000","9","52","100.64.0.1","23557","100.64.0.2","38728","0","1","97"
"1746756404.978408000","0.190404000","0.190404000","10","52","100.64.0.1","23557","100.64.0.2","38728","0","1","145"
"1746756404.978411000","0.190407000","0.190407000","11","52","100.64.0.1","23557","100.64.0.2","38728","0","1","154"
"1746756404.979477000","0.191473000","0.191473000","12","296","100.64.0.1","23557","100.64.0.2","38728","244","1","154"
"1746756404.979485000","0.191481000","0.191481000","13","296","100.64.0.1","23557","100.64.0.2","38728","244","245","154"
"1746756404.979490000","0.191486000","0.191486000","14","296","100.64.0.1","23557","100.64.0.2","38728","244","489","154"
"1746756404.979496000","0.191492000","0.191492000","15","296","100.64.0.1","23557","100.64.0.2","38728","244","733","154"
"1746756404.979501000","0.191497000","0.191497000","16","296","100.64.0.1","23557","100.64.0.2","38728","244","977","154"
"1746756404.979507000","0.191503000","0.191503000","17","296","100.64.0.1","23557","100.64.0.2","38728","244","1221","154"
"1746756404.979512000","0.191508000","0.191508000","18","296","100.64.0.1","23557","100.64.0.2","38728","244","1465","154"
"1746756404.979518000","0.191514000","0.191514000","19","296","100.64.0.1","23557","100.64.0.2","38728","244","1709","154"
"1746756404.979524000","0.191520000","0.191520000","20","296","100.64.0.1","23557","100.64.0.2","38728","244","1953","154"
"1746756404.979529000","0.191525000","0.191525000","21","296","100.64.0.1","23557","100.64.0.2","38728","244","2197","154"
"1746756405.049483000","0.261479000",,"22","76",,,,,,,
"1746756405.049500000","0.261496000",,"23","48",,,,,,,
"1746756405.053342000","0.265338000",,"24","76",,,,,,,
"1746756405.162248000","0.374244000","0.374244000","25","52","100.64.0.2","38728","100.64.0.1","23557","0","154","245"
"1746756405.162267000","0.374263000","0.374263000","26","52","100.64.0.2","38728","100.64.0.1","23557","0","154","489"
"1746756405.162274000","0.374270000","0.374270000","27","52","100.64.0.2","38728","100.64.0.1","23557","0","154","733"
"1746756405.162280000","0.374276000","0.374276000","28","52","100.64.0.2","38728","100.64.0.1","23557","0","154","977"
"1746756405.166638000","0.378634000","0.378634000","29","296","100.64.0.1","23557","100.64.0.2","38728","244","2441","154"
"1746756405.166658000","0.378654000","0.378654000","30","296","100.64.0.1","23557","100.64.0.2","38728","244","2685","154"
"1746756405.166666000","0.378662000","0.378662000","31","296","100.64.0.1","23557","100.64.0.2","38728","244","2929","154"
"1746756405.166673000","0.378669000","0.378669000","32","296","100.64.0.1","23557","100.64.0.2","38728","244","3173","154"
"1746756405.166680000","0.378676000","0.378676000","33","296","100.64.0.1","23557","100.64.0.2","38728","244","3417","154"
"1746756405.166687000","0.378683000","0.378683000","34","296","100.64.0.1","23557","100.64.0.2","38728","244","3661","154"
"1746756405.166694000","0.378690000","0.378690000","35","296","100.64.0.1","23557","100.64.0.2","38728","244","3905","154"
"1746756405.166701000","0.378697000","0.378697000","36","296","100.64.0.1","23557","100.64.0.2","38728","244","4149","154"
"1746756405.224873000","0.436869000","0.436869000","37","52","100.64.0.2","38728","100.64.0.1","23557","0","154","1221"
"1746756405.224884000","0.436880000","0.436880000","38","52","100.64.0.2","38728","100.64.0.1","23557","0","154","1465"
"1746756405.224890000","0.436886000","0.436886000","39","52","100.64.0.2","38728","100.64.0.1","23557","0","154","1709"
"1746756405.224895000","0.436891000","0.436891000","40","52","100.64.0.2","38728","100.64.0.1","23557","0","154","1953"
"1746756405.224900000","0.436896000","0.436896000","41","52","100.64.0.2","38728","100.64.0.1","23557","0","154","2197"
"1746756405.229188000","0.441184000","0.441184000","42","296","100.64.0.1","23557","100.64.0.2","38728","244","4393","154"
"1746756405.229205000","0.441201000","0.441201000","43","296","100.64.0.1","23557","100.64.0.2","38728","244","4637","154"
"1746756405.229212000","0.441208000","0.441208000","44","296","100.64.0.1","23557","100.64.0.2","38728","244","4881","154"
"1746756405.229230000","0.441226000","0.441226000","45","296","100.64.0.1","23557","100.64.0.2","38728","244","5125","154"
"1746756405.229236000","0.441232000","0.441232000","46","296","100.64.0.1","23557","100.64.0.2","38728","244","5369","154"
"1746756405.229242000","0.441238000","0.441238000","47","296","100.64.0.1","23557","100.64.0.2","38728","244","5613","154"
"1746756405.229247000","0.441243000","0.441243000","48","296","100.64.0.1","23557","100.64.0.2","38728","244","5857","154"
"1746756405.229253000","0.441249000","0.441249000","49","296","100.64.0.1","23557","100.64.0.2","38728","244","6101","154"
"1746756405.229259000","0.441255000","0.441255000","50","296","100.64.0.1","23557","100.64.0.2","38728","244","6345","154"
"1746756405.229264000","0.441260000","0.441260000","51","296","100.64.0.1","23557","100.64.0.2","38728","244","6589","154"
"1746756405.287804000","0.499800000","0.499800000","52","52","100.64.0.2","38728","100.64.0.1","23557","0","154","2441"
"1746756405.292106000","0.504102000","0.504102000","53","296","100.64.0.1","23557","100.64.0.2","38728","244","6833","154"
"1746756405.292122000","0.504118000","0.504118000","54","296","100.64.0.1","23557","100.64.0.2","38728","244","7077","154"
"1746756405.321370000","0.533366000",,"55","76",,,,,,,
"1746756405.344260000","0.556256000",,"56","76",,,,,,,
"1746756405.344279000","0.556275000",,"57","48",,,,,,,
"1746756405.348230000","0.560226000",,"58","76",,,,,,,
"1746756405.349390000","0.561386000","0.561386000","59","52","100.64.0.2","38728","100.64.0.1","23557","0","154","2685"
