frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746756877.276170000","0.000000000","0.000000000","1","60","100.64.0.2","54052","100.64.0.1","23557","0","0","0"
"1746756877.281289000","0.005119000","0.005119000","2","60","100.64.0.1","23557","100.64.0.2","54052","0","0","1"
"1746756877.463907000","0.187737000","0.187737000","3","52","100.64.0.2","54052","100.64.0.1","23557","0","1","1"
"1746756877.463928000","0.187758000","0.187758000","4","100","100.64.0.2","54052","100.64.0.1","23557","48","1","1"
"1746756877.463939000","0.187769000","0.187769000","5","100","100.64.0.2","54052","100.64.0.1","23557","48","49","1"
"1746756877.463949000","0.187779000","0.187779000","6","100","100.64.0.2","54052","100.64.0.1","23557","48","97","1"
"1746756877.463959000","0.187789000","0.187789000","7","61","100.64.0.2","54052","100.64.0.1","23557","9","145","1"
"1746756877.468068000","0.191898000","0.191898000","8","52","100.64.0.1","23557","100.64.0.2","54052","0","1","49"
"1746756877.468081000","0.191911000","0.191911000","9","52","100.64.0.1","23557","100.64.0.2","54052","0","1","97"
"1746756877.468085000","0.191915000","0.191915000","10","52","100.64.0.1","23557","100.64.0.2","54052","0","1","145"
"1746756877.468088000","0.191918000","0.191918000","11","52","100.64.0.1","23557","100.64.0.2","54052","0","1","154"
"1746756877.468092000","0.191922000","0.191922000","12","296","100.64.0.1","23557","100.64.0.2","54052","244","1","154"
"1746756877.468095000","0.191925000","0.191925000","13","296","100.64.0.1","23557","100.64.0.2","54052","244","245","154"
"1746756877.468099000","0.191929000","0.191929000","14","296","100.64.0.1","23557","100.64.0.2","54052","244","489","154"
"1746756877.468102000","0.191932000","0.191932000","15","296","100.64.0.1","23557","100.64.0.2","54052","244","733","154"
"1746756877.468105000","0.191935000","0.191935000","16","296","100.64.0.1","23557","100.64.0.2","54052","244","977","154"
"1746756877.469169000","0.192999000","0.192999000","17","296","100.64.0.1","23557","100.64.0.2","54052","244","1221","154"
"1746756877.469177000","0.193007000","0.193007000","18","296","100.64.0.1","23557","100.64.0.2","54052","244","1465","154"
"1746756877.511269000","0.235099000",,"19","76",,,,,,,
"1746756877.511280000","0.235110000",,"20","48",,,,,,,
"1746756877.514232000","0.238062000",,"21","76",,,,,,,
"1746756877.535232000","0.259062000",,"22","76",,,,,,,
"1746756877.651792000","0.375622000","0.375622000","23","52","100.64.0.2","54052","100.64.0.1","23557","0","154","245"
"1746756877.651806000","0.375636000","0.375636000","24","52","100.64.0.2","54052","100.64.0.1","23557","0","154","489"
"1746756877.651813000","0.375643000","0.375643000","25","52","100.64.0.2","54052","100.64.0.1","23557","0","154","733"
"1746756877.651819000","0.375649000","0.375649000","26","52","100.64.0.2","54052","100.64.0.1","23557","0","154","977"
"1746756877.655008000","0.378838000","0.378838000","27","296","100.64.0.1","23557","100.64.0.2","54052","244","1709","154"
"1746756877.655023000","0.378853000","0.378853000","28","296","100.64.0.1","23557","100.64.0.2","54052","244","1953","154"
"1746756877.655027000","0.378857000","0.378857000","29","296","100.64.0.1","23557","100.64.0.2","54052","244","2197","154"
"1746756877.655030000","0.378860000","0.378860000","30","296","100.64.0.1","23557","100.64.0.2","54052","244","2441","154"
"1746756877.655034000","0.378864000","0.378864000","31","296","100.64.0.1","23557","100.64.0.2","54052","244","2685","154"
"1746756877.655038000","0.378868000","0.378868000","32","296","100.64.0.1","23557","100.64.0.2","54052","244","2929","154"
"1746756877.655041000","0.378871000","0.378871000","33","296","100.64.0.1","23557","100.64.0.2","54052","244","3173","154"
"1746756877.655044000","0.378874000","0.378874000","34","296","100.64.0.1","23557","100.64.0.2","54052","244","3417","154"
"1746756877.655047000","0.378877000","0.378877000","35","296","100.64.0.1","23557","100.64.0.2","54052","244","3661","154"
"1746756877.656378000","0.380208000","0.380208000","36","296","100.64.0.1","23557","100.64.0.2","54052","244","3905","154"
"1746756877.656384000","0.380214000","0.380214000","37","296","100.64.0.1","23557","100.64.0.2","54052","244","4149","154"
"1746756877.656387000","0.380217000","0.380217000","38","296","100.64.0.1","23557","100.64.0.2","54052","244","4393","154"
"1746756877.656390000","0.380220000","0.380220000","39","296","100.64.0.1","23557","100.64.0.2","54052","244","4637","154"
"1746756877.656393000","0.380223000","0.380223000","40","296","100.64.0.1","23557","100.64.0.2","54052","244","4881","154"
"1746756877.656396000","0.380226000","0.380226000","41","296","100.64.0.1","23557","100.64.0.2","54052","244","5125","154"
"1746756877.656399000","0.380229000","0.380229000","42","296","100.64.0.1","23557","100.64.0.2","54052","244","5369","154"
"1746756877.656403000","0.380233000","0.380233000","43","296","100.64.0.1","23557","100.64.0.2","54052","244","5613","154"
"1746756877.656406000","0.380236000","0.380236000","44","296","100.64.0.1","23557","100.64.0.2","54052","244","5857","154"
"1746756877.656409000","0.380239000","0.380239000","45","296","100.64.0.1","23557","100.64.0.2","54052","244","6101","154"
"1746756877.656412000","0.380242000","0.380242000","46","296","100.64.0.1","23557","100.64.0.2","54052","244","6345","154"
"1746756877.656415000","0.380245000","0.380245000","47","296","100.64.0.1","23557","100.64.0.2","54052","244","6589","154"
"1746756877.656418000","0.380248000","0.380248000","48","296","100.64.0.1","23557","100.64.0.2","54052","244","6833","154"
"1746756877.656421000","0.380251000","0.380251000","49","296","100.64.0.1","23557","100.64.0.2","54052","244","7077","154"
"1746756877.656424000","0.380254000","0.380254000","50","296","100.64.0.1","23557","100.64.0.2","54052","244","7321","154"
"1746756877.656427000","0.380257000","0.380257000","51","296","100.64.0.1","23557","100.64.0.2","54052","244","7565","154"
"1746756877.656430000","0.380260000","0.380260000","52","296","100.64.0.1","23557","100.64.0.2","54052","244","7809","154"
"1746756877.656433000","0.380263000","0.380263000","53","296","100.64.0.1","23557","100.64.0.2","54052","244","8053","154"
"1746756877.656436000","0.380266000","0.380266000","54","296","100.64.0.1","23557","100.64.0.2","54052","244","8297","154"
"1746756877.656440000","0.380270000","0.380270000","55","296","100.64.0.1","23557","100.64.0.2","54052","244","8541","154"
"1746756877.656443000","0.380273000","0.380273000","56","296","100.64.0.1","23557","100.64.0.2","54052","244","8785","154"
"1746756877.656446000","0.380276000","0.380276000","57","296","100.64.0.1","23557","100.64.0.2","54052","244","9029","154"
"1746756877.656449000","0.380279000","0.380279000","58","296","100.64.0.1","23557","100.64.0.2","54052","244","9273","154"
"1746756877.656452000","0.380282000","0.380282000","59","296","100.64.0.1","23557","100.64.0.2","54052","244","9517","154"
"1746756877.656455000","0.380285000","0.380285000","60","296","100.64.0.1","23557","100.64.0.2","54052","244","9761","154"
"1746756877.656458000","0.380288000","0.380288000","61","296","100.64.0.1","23557","100.64.0.2","54052","244","10005","154"
"1746756877.656461000","0.380291000","0.380291000","62","296","100.64.0.1","23557","100.64.0.2","54052","244","10249","154"
"1746756877.656464000","0.380294000","0.380294000","63","296","100.64.0.1","23557","100.64.0.2","54052","244","10493","154"
"1746756877.656467000","0.380297000","0.380297000","64","296","100.64.0.1","23557","100.64.0.2","54052","244","10737","154"
"1746756877.656470000","0.380300000","0.380300000","65","296","100.64.0.1","23557","100.64.0.2","54052","244","10981","154"
"1746756877.656473000","0.380303000","0.380303000","66","296","100.64.0.1","23557","100.64.0.2","54052","244","11225","154"
"1746756877.656477000","0.380307000","0.380307000","67","296","100.64.0.1","23557","100.64.0.2","54052","244","11469","154"
"1746756877.656480000","0.380310000","0.380310000","68","296","100.64.0.1","23557","100.64.0.2","54052","244","11713","154"
"1746756877.656483000","0.380313000","0.380313000","69","296","100.64.0.1","23557","100.64.0.2","54052","244","11957","154"
"1746756877.656486000","0.380316000","0.380316000","70","296","100.64.0.1","23557","100.64.0.2","54052","244","12201","154"
"1746756877.656489000","0.380319000","0.380319000","71","296","100.64.0.1","23557","100.64.0.2","54052","244","12445","154"
"1746756877.656492000","0.380322000","0.380322000","72","296","100.64.0.1","23557","100.64.0.2","54052","244","12689","154"
"1746756877.656495000","0.380325000","0.380325000","73","296","100.64.0.1","23557","100.64.0.2","54052","244","12933","154"
"1746756877.656498000","0.380328000","0.380328000","74","296","100.64.0.1","23557","100.64.0.2","54052","244","13177","154"
"1746756877.656501000","0.380331000","0.380331000","75","296","100.64.0.1","23557","100.64.0.2","54052","244","13421","154"
"1746756877.656504000","0.380334000","0.380334000","76","296","100.64.0.1","23557","100.64.0.2","54052","244","13665","154"
"1746756877.656508000","0.380338000","0.380338000","77","296","100.64.0.1","23557","100.64.0.2","54052","244","13909","154"
"1746756877.656511000","0.380341000","0.380341000","78","296","100.64.0.1","23557","100.64.0.2","54052","244","14153","154"
"1746756877.656514000","0.380344000","0.380344000","79","296","100.64.0.1","23557","100.64.0.2","54052","244","14397","154"
"1746756877.656517000","0.380347000","0.380347000","80","296","100.64.0.1","23557","100.64.0.2","54052","244","14641","154"
"1746756877.656520000","0.380350000","0.380350000","81","296","100.64.0.1","23557","100.64.0.2","54052","244","14885","154"
"1746756877.656523000","0.380353000","0.380353000","82","296","100.64.0.1","23557","100.64.0.2","54052","244","15129","154"
"1746756877.656526000","0.380356000","0.380356000","83","296","100.64.0.1","23557","100.64.0.2","54052","244","15373","154"
"1746756877.656529000","0.380359000","0.380359000","84","296","100.64.0.1","23557","100.64.0.2","54052","244","15617","154"
"1746756877.656532000","0.380362000","0.380362000","85","296","100.64.0.1","23557","100.64.0.2","54052","244","15861","154"
"1746756877.656535000","0.380365000","0.380365000","86","296","100.64.0.1","23557","100.64.0.2","54052","244","16105","154"
"1746756877.656538000","0.380368000","0.380368000","87","296","100.64.0.1","23557","100.64.0.2","54052","244","16349","154"
"1746756877.656541000","0.380371000","0.380371000","88","296","100.64.0.1","23557","100.64.0.2","54052","244","16593","154"
"1746756877.656544000","0.380374000","0.380374000","89","296","100.64.0.1","23557","100.64.0.2","54052","244","16837","154"
"1746756877.656547000","0.380377000","0.380377000","90","296","100.64.0.1","23557","100.64.0.2","54052","244","17081","154"
"1746756877.656550000","0.380380000","0.380380000","91","296","100.64.0.1","23557","100.64.0.2","54052","244","17325","154"
"1746756877.656553000","0.380383000","0.380383000","92","296","100.64.0.1","23557","100.64.0.2","54052","244","17569","154"
"1746756877.656556000","0.380386000","0.380386000","93","296","100.64.0.1","23557","100.64.0.2","54052","244","17813","154"
"1746756877.656559000","0.380389000","0.380389000","94","296","100.64.0.1","23557","100.64.0.2","54052","244","18057","154"
"1746756877.656562000","0.380392000","0.380392000","95","296","100.64.0.1","23557","100.64.0.2","54052","244","18301","154"
"1746756877.656565000","0.380395000","0.380395000","96","296","100.64.0.1","23557","100.64.0.2","54052","244","18545","154"
"1746756877.656567000","0.380397000","0.380397000","97","296","100.64.0.1","23557","100.64.0.2","54052","244","18789","154"
"1746756877.656571000","0.380401000","0.380401000","98","296","100.64.0.1","23557","100.64.0.2","54052","244","19033","154"
"1746756877.656573000","0.380403000","0.380403000","99","296","100.64.0.1","23557","100.64.0.2","54052","244","19277","154"
"1746756877.656577000","0.380407000","0.380407000","100","296","100.64.0.1","23557","100.64.0.2","54052","244","19521","154"
"1746756877.656580000","0.380410000","0.380410000","101","296","100.64.0.1","23557","100.64.0.2","54052","244","19765","154"
"1746756877.656583000","0.380413000","0.380413000","102","296","100.64.0.1","23557","100.64.0.2","54052","244","20009","154"
"1746756877.656586000","0.380416000","0.380416000","103","296","100.64.0.1","23557","100.64.0.2","54052","244","20253","154"
"1746756877.656589000","0.380419000","0.380419000","104","296","100.64.0.1","23557","100.64.0.2","54052","244","20497","154"
