frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746756573.551240000","0.000000000",,"1","76",,,,,,,
"1746756573.605117000","0.053877000","0.000000000","2","60","100.64.0.2","44870","100.64.0.1","23557","0","0","0"
"1746756573.609378000","0.058138000","0.004261000","3","60","100.64.0.1","23557","100.64.0.2","44870","0","0","1"
"1746756573.807243000","0.256003000",,"4","76",,,,,,,
"1746756573.918743000","0.367503000","0.313626000","5","52","100.64.0.2","44870","100.64.0.1","23557","0","1","1"
"1746756573.918763000","0.367523000","0.313646000","6","100","100.64.0.2","44870","100.64.0.1","23557","48","1","1"
"1746756573.918771000","0.367531000","0.313654000","7","100","100.64.0.2","44870","100.64.0.1","23557","48","49","1"
"1746756573.918779000","0.367539000","0.313662000","8","100","100.64.0.2","44870","100.64.0.1","23557","48","97","1"
"1746756573.918787000","0.367547000","0.313670000","9","61","100.64.0.2","44870","100.64.0.1","23557","9","145","1"
"1746756573.921007000","0.369767000",,"10","76",,,,,,,
"1746756573.922103000","0.370863000","0.316986000","11","52","100.64.0.1","23557","100.64.0.2","44870","0","1","49"
"1746756573.922119000","0.370879000","0.317002000","12","52","100.64.0.1","23557","100.64.0.2","44870","0","1","97"
"1746756573.922126000","0.370886000","0.317009000","13","52","100.64.0.1","23557","100.64.0.2","44870","0","1","145"
"1746756573.923318000","0.372078000","0.318201000","14","52","100.64.0.1","23557","100.64.0.2","44870","0","1","154"
"1746756573.924419000","0.373179000","0.319302000","15","296","100.64.0.1","23557","100.64.0.2","44870","244","1","154"
"1746756573.924432000","0.373192000","0.319315000","16","296","100.64.0.1","23557","100.64.0.2","44870","244","245","154"
"1746756573.924438000","0.373198000","0.319321000","17","296","100.64.0.1","23557","100.64.0.2","44870","244","489","154"
"1746756573.924443000","0.373203000","0.319326000","18","296","100.64.0.1","23557","100.64.0.2","44870","244","733","154"
"1746756573.924447000","0.373207000","0.319330000","19","296","100.64.0.1","23557","100.64.0.2","44870","244","977","154"
"1746756573.924452000","0.373212000","0.319335000","20","296","100.64.0.1","23557","100.64.0.2","44870","244","1221","154"
"1746756573.924456000","0.373216000","0.319339000","21","296","100.64.0.1","23557","100.64.0.2","44870","244","1465","154"
"1746756573.924460000","0.373220000","0.319343000","22","296","100.64.0.1","23557","100.64.0.2","44870","244","1709","154"
"1746756573.924465000","0.373225000","0.319348000","23","296","100.64.0.1","23557","100.64.0.2","44870","244","1953","154"
"1746756573.924469000","0.373229000","0.319352000","24","296","100.64.0.1","23557","100.64.0.2","44870","244","2197","154"
"1746756574.113386000","0.562146000",,"25","76",,,,,,,
"1746756574.230451000","0.679211000","0.625334000","26","52","100.64.0.2","44870","100.64.0.1","23557","0","154","245"
"1746756574.230469000","0.679229000","0.625352000","27","52","100.64.0.2","44870","100.64.0.1","23557","0","154","489"
"1746756574.230476000","0.679236000","0.625359000","28","52","100.64.0.2","44870","100.64.0.1","23557","0","154","733"
"1746756574.230483000","0.679243000","0.625366000","29","52","100.64.0.2","44870","100.64.0.1","23557","0","154","977"
"1746756574.234826000","0.683586000","0.629709000","30","296","100.64.0.1","23557","100.64.0.2","44870","244","2441","154"
"1746756574.234844000","0.683604000","0.629727000","31","296","100.64.0.1","23557","100.64.0.2","44870","244","2685","154"
"1746756574.234850000","0.683610000","0.629733000","32","296","100.64.0.1","23557","100.64.0.2","44870","244","2929","154"
