frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746756134.759064000","0.000000000","0.000000000","1","60","100.64.0.2","42326","100.64.0.1","23557","0","0","0"
"1746756134.764159000","0.005095000","0.005095000","2","60","100.64.0.1","23557","100.64.0.2","42326","0","0","1"
"1746756134.946005000","0.186941000","0.186941000","3","52","100.64.0.2","42326","100.64.0.1","23557","0","1","1"
"1746756134.946019000","0.186955000","0.186955000","4","100","100.64.0.2","42326","100.64.0.1","23557","48","1","1"
"1746756134.946026000","0.186962000","0.186962000","5","100","100.64.0.2","42326","100.64.0.1","23557","48","49","1"
"1746756134.946032000","0.186968000","0.186968000","6","100","100.64.0.2","42326","100.64.0.1","23557","48","97","1"
"1746756134.946038000","0.186974000","0.186974000","7","61","100.64.0.2","42326","100.64.0.1","23557","9","145","1"
"1746756134.950696000","0.191632000","0.191632000","8","52","100.64.0.1","23557","100.64.0.2","42326","0","1","49"
"1746756134.950713000","0.191649000","0.191649000","9","52","100.64.0.1","23557","100.64.0.2","42326","0","1","97"
"1746756134.950722000","0.191658000","0.191658000","10","52","100.64.0.1","23557","100.64.0.2","42326","0","1","145"
"1746756134.950731000","0.191667000","0.191667000","11","52","100.64.0.1","23557","100.64.0.2","42326","0","1","154"
"1746756134.951805000","0.192741000","0.192741000","12","296","100.64.0.1","23557","100.64.0.2","42326","244","1","154"
"1746756134.951817000","0.192753000","0.192753000","13","296","100.64.0.1","23557","100.64.0.2","42326","244","245","154"
"1746756134.951827000","0.192763000","0.192763000","14","296","100.64.0.1","23557","100.64.0.2","42326","244","489","154"
"1746756134.951839000","0.192775000","0.192775000","15","296","100.64.0.1","23557","100.64.0.2","42326","244","733","154"
"1746756134.951850000","0.192786000","0.192786000","16","296","100.64.0.1","23557","100.64.0.2","42326","244","977","154"
"1746756134.951860000","0.192796000","0.192796000","17","296","100.64.0.1","23557","100.64.0.2","42326","244","1221","154"
"1746756134.951870000","0.192806000","0.192806000","18","296","100.64.0.1","23557","100.64.0.2","42326","244","1465","154"
"1746756134.951881000","0.192817000","0.192817000","19","296","100.64.0.1","23557","100.64.0.2","42326","244","1709","154"
"1746756134.951891000","0.192827000","0.192827000","20","296","100.64.0.1","23557","100.64.0.2","42326","244","1953","154"
"1746756134.951902000","0.192838000","0.192838000","21","296","100.64.0.1","23557","100.64.0.2","42326","244","2197","154"
"1746756135.134047000","0.374983000","0.374983000","22","52","100.64.0.2","42326","100.64.0.1","23557","0","154","245"
"1746756135.134060000","0.374996000","0.374996000","23","52","100.64.0.2","42326","100.64.0.1","23557","0","154","489"
"1746756135.134066000","0.375002000","0.375002000","24","52","100.64.0.2","42326","100.64.0.1","23557","0","154","733"
"1746756135.134073000","0.375009000","0.375009000","25","52","100.64.0.2","42326","100.64.0.1","23557","0","154","977"
"1746756135.138346000","0.379282000","0.379282000","26","296","100.64.0.1","23557","100.64.0.2","42326","244","2441","154"
"1746756135.138360000","0.379296000","0.379296000","27","296","100.64.0.1","23557","100.64.0.2","42326","244","2685","154"
"1746756135.138369000","0.379305000","0.379305000","28","296","100.64.0.1","23557","100.64.0.2","42326","244","2929","154"
"1746756135.138378000","0.379314000","0.379314000","29","296","100.64.0.1","23557","100.64.0.2","42326","244","3173","154"
