frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746756236.079261000","0.000000000",,"1","76",,,,,,,
"1746756236.079277000","0.000016000",,"2","48",,,,,,,
"1746756236.082235000","0.002974000",,"3","76",,,,,,,
"1746756236.130983000","0.051722000","0.000000000","4","60","100.64.0.2","47010","100.64.0.1","23557","0","0","0"
"1746756236.136093000","0.056832000","0.005110000","5","60","100.64.0.1","23557","100.64.0.2","47010","0","0","1"
"1746756236.444025000","0.364764000","0.313042000","6","52","100.64.0.2","47010","100.64.0.1","23557","0","1","1"
"1746756236.444041000","0.364780000","0.313058000","7","100","100.64.0.2","47010","100.64.0.1","23557","48","1","1"
"1746756236.444048000","0.364787000","0.313065000","8","100","100.64.0.2","47010","100.64.0.1","23557","48","49","1"
"1746756236.444054000","0.364793000","0.313071000","9","100","100.64.0.2","47010","100.64.0.1","23557","48","97","1"
"1746756236.444060000","0.364799000","0.313077000","10","61","100.64.0.2","47010","100.64.0.1","23557","9","145","1"
"1746756236.448443000","0.369182000","0.317460000","11","52","100.64.0.1","23557","100.64.0.2","47010","0","1","49"
"1746756236.448459000","0.369198000","0.317476000","12","52","100.64.0.1","23557","100.64.0.2","47010","0","1","97"
"1746756236.448464000","0.369203000","0.317481000","13","52","100.64.0.1","23557","100.64.0.2","47010","0","1","145"
"1746756236.448469000","0.369208000","0.317486000","14","52","100.64.0.1","23557","100.64.0.2","47010","0","1","154"
"1746756236.449535000","0.370274000","0.318552000","15","296","100.64.0.1","23557","100.64.0.2","47010","244","1","154"
"1746756236.449542000","0.370281000","0.318559000","16","296","100.64.0.1","23557","100.64.0.2","47010","244","245","154"
"1746756236.449548000","0.370287000","0.318565000","17","296","100.64.0.1","23557","100.64.0.2","47010","244","489","154"
"1746756236.449553000","0.370292000","0.318570000","18","296","100.64.0.1","23557","100.64.0.2","47010","244","733","154"
"1746756236.449559000","0.370298000","0.318576000","19","296","100.64.0.1","23557","100.64.0.2","47010","244","977","154"
"1746756236.449564000","0.370303000","0.318581000","20","296","100.64.0.1","23557","100.64.0.2","47010","244","1221","154"
