frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746756033.693291000","0.000000000","0.000000000","1","60","100.64.0.2","56980","100.64.0.1","23557","0","0","0"
"1746756033.698178000","0.004887000","0.004887000","2","60","100.64.0.1","23557","100.64.0.2","56980","0","0","1"
"1746756034.006730000","0.313439000","0.313439000","3","52","100.64.0.2","56980","100.64.0.1","23557","0","1","1"
"1746756034.006741000","0.313450000","0.313450000","4","100","100.64.0.2","56980","100.64.0.1","23557","48","1","1"
"1746756034.006746000","0.313455000","0.313455000","5","100","100.64.0.2","56980","100.64.0.1","23557","48","49","1"
"1746756034.006750000","0.313459000","0.313459000","6","100","100.64.0.2","56980","100.64.0.1","23557","48","97","1"
"1746756034.006754000","0.313463000","0.313463000","7","61","100.64.0.2","56980","100.64.0.1","23557","9","145","1"
"1746756034.010960000","0.317669000","0.317669000","8","52","100.64.0.1","23557","100.64.0.2","56980","0","1","49"
"1746756034.010973000","0.317682000","0.317682000","9","52","100.64.0.1","23557","100.64.0.2","56980","0","1","97"
"1746756034.010977000","0.317686000","0.317686000","10","52","100.64.0.1","23557","100.64.0.2","56980","0","1","145"
"1746756034.010981000","0.317690000","0.317690000","11","52","100.64.0.1","23557","100.64.0.2","56980","0","1","154"
"1746756034.012045000","0.318754000","0.318754000","12","296","100.64.0.1","23557","100.64.0.2","56980","244","1","154"
"1746756034.012053000","0.318762000","0.318762000","13","296","100.64.0.1","23557","100.64.0.2","56980","244","245","154"
"1746756034.012057000","0.318766000","0.318766000","14","296","100.64.0.1","23557","100.64.0.2","56980","244","489","154"
"1746756034.012060000","0.318769000","0.318769000","15","296","100.64.0.1","23557","100.64.0.2","56980","244","733","154"
"1746756034.012063000","0.318772000","0.318772000","16","296","100.64.0.1","23557","100.64.0.2","56980","244","977","154"
"1746756034.012066000","0.318775000","0.318775000","17","296","100.64.0.1","23557","100.64.0.2","56980","244","1221","154"
"1746756034.012069000","0.318778000","0.318778000","18","296","100.64.0.1","23557","100.64.0.2","56980","244","1465","154"
"1746756034.012072000","0.318781000","0.318781000","19","296","100.64.0.1","23557","100.64.0.2","56980","244","1709","154"
"1746756034.012075000","0.318784000","0.318784000","20","296","100.64.0.1","23557","100.64.0.2","56980","244","1953","154"
"1746756034.012078000","0.318787000","0.318787000","21","296","100.64.0.1","23557","100.64.0.2","56980","244","2197","154"
"1746756034.081319000","0.388028000",,"22","76",,,,,,,
"1746756034.209336000","0.516045000",,"23","76",,,,,,,
"1746756034.318851000","0.625560000","0.625560000","24","52","100.64.0.2","56980","100.64.0.1","23557","0","154","245"
"1746756034.318861000","0.625570000","0.625570000","25","52","100.64.0.2","56980","100.64.0.1","23557","0","154","489"
"1746756034.318866000","0.625575000","0.625575000","26","52","100.64.0.2","56980","100.64.0.1","23557","0","154","733"
"1746756034.318870000","0.625579000","0.625579000","27","52","100.64.0.2","56980","100.64.0.1","23557","0","154","977"
"1746756034.323114000","0.629823000","0.629823000","28","296","100.64.0.1","23557","100.64.0.2","56980","244","2441","154"
"1746756034.323126000","0.629835000","0.629835000","29","296","100.64.0.1","23557","100.64.0.2","56980","244","2685","154"
"1746756034.323130000","0.629839000","0.629839000","30","296","100.64.0.1","23557","100.64.0.2","56980","244","2929","154"
"1746756034.323133000","0.629842000","0.629842000","31","296","100.64.0.1","23557","100.64.0.2","56980","244","3173","154"
"1746756034.323136000","0.629845000","0.629845000","32","296","100.64.0.1","23557","100.64.0.2","56980","244","3417","154"
"1746756034.323140000","0.629849000","0.629849000","33","296","100.64.0.1","23557","100.64.0.2","56980","244","3661","154"
"1746756034.323143000","0.629852000","0.629852000","34","296","100.64.0.1","23557","100.64.0.2","56980","244","3905","154"
"1746756034.323146000","0.629855000","0.629855000","35","296","100.64.0.1","23557","100.64.0.2","56980","244","4149","154"
"1746756034.381325000","0.688034000","0.688034000","36","52","100.64.0.2","56980","100.64.0.1","23557","0","154","1221"
"1746756034.381333000","0.688042000","0.688042000","37","52","100.64.0.2","56980","100.64.0.1","23557","0","154","1465"
"1746756034.381337000","0.688046000","0.688046000","38","52","100.64.0.2","56980","100.64.0.1","23557","0","154","1709"
"1746756034.381341000","0.688050000","0.688050000","39","52","100.64.0.2","56980","100.64.0.1","23557","0","154","1953"
"1746756034.381344000","0.688053000","0.688053000","40","52","100.64.0.2","56980","100.64.0.1","23557","0","154","2197"
"1746756034.385576000","0.692285000","0.692285000","41","296","100.64.0.1","23557","100.64.0.2","56980","244","4393","154"
"1746756034.385587000","0.692296000","0.692296000","42","296","100.64.0.1","23557","100.64.0.2","56980","244","4637","154"
"1746756034.385592000","0.692301000","0.692301000","43","296","100.64.0.1","23557","100.64.0.2","56980","244","4881","154"
"1746756034.385595000","0.692304000","0.692304000","44","296","100.64.0.1","23557","100.64.0.2","56980","244","5125","154"
"1746756034.385599000","0.692308000","0.692308000","45","296","100.64.0.1","23557","100.64.0.2","56980","244","5369","154"
"1746756034.385603000","0.692312000","0.692312000","46","296","100.64.0.1","23557","100.64.0.2","56980","244","5613","154"
"1746756034.385607000","0.692316000","0.692316000","47","296","100.64.0.1","23557","100.64.0.2","56980","244","5857","154"
"1746756034.385610000","0.692319000","0.692319000","48","296","100.64.0.1","23557","100.64.0.2","56980","244","6101","154"
"1746756034.385614000","0.692323000","0.692323000","49","296","100.64.0.1","23557","100.64.0.2","56980","244","6345","154"
"1746756034.385618000","0.692327000","0.692327000","50","296","100.64.0.1","23557","100.64.0.2","56980","244","6589","154"
"1746756034.444062000","0.750771000","0.750771000","51","52","100.64.0.2","56980","100.64.0.1","23557","0","154","2441"
"1746756034.448289000","0.754998000","0.754998000","52","296","100.64.0.1","23557","100.64.0.2","56980","244","6833","154"
"1746756034.448302000","0.755011000","0.755011000","53","296","100.64.0.1","23557","100.64.0.2","56980","244","7077","154"
"1746756034.463250000","0.769959000",,"54","76",,,,,,,
"1746756034.463258000","0.769967000",,"55","48",,,,,,,
"1746756034.466223000","0.772932000",,"56","76",,,,,,,
"1746756034.631774000","0.938483000","0.938483000","57","52","100.64.0.2","56980","100.64.0.1","23557","0","154","2685"
"1746756034.631785000","0.938494000","0.938494000","58","52","100.64.0.2","56980","100.64.0.1","23557","0","154","2929"
"1746756034.631789000","0.938498000","0.938498000","59","52","100.64.0.2","56980","100.64.0.1","23557","0","154","3173"
"1746756034.631793000","0.938502000","0.938502000","60","52","100.64.0.2","56980","100.64.0.1","23557","0","154","3417"
"1746756034.631797000","0.938506000","0.938506000","61","52","100.64.0.2","56980","100.64.0.1","23557","0","154","3661"
"1746756034.635093000","0.941802000","0.941802000","62","296","100.64.0.1","23557","100.64.0.2","56980","244","7321","154"
"1746756034.635108000","0.941817000","0.941817000","63","296","100.64.0.1","23557","100.64.0.2","56980","244","7565","154"
"1746756034.635112000","0.941821000","0.941821000","64","296","100.64.0.1","23557","100.64.0.2","56980","244","7809","154"
"1746756034.635116000","0.941825000","0.941825000","65","296","100.64.0.1","23557","100.64.0.2","56980","244","8053","154"
"1746756034.635120000","0.941829000","0.941829000","66","296","100.64.0.1","23557","100.64.0.2","56980","244","8297","154"
"1746756034.635124000","0.941833000","0.941833000","67","296","100.64.0.1","23557","100.64.0.2","56980","244","8541","154"
"1746756034.636201000","0.942910000","0.942910000","68","296","100.64.0.1","23557","100.64.0.2","56980","244","8785","154"
"1746756034.636211000","0.942920000","0.942920000","69","296","100.64.0.1","23557","100.64.0.2","56980","244","9029","154"
"1746756034.636223000","0.942932000","0.942932000","70","296","100.64.0.1","23557","100.64.0.2","56980","244","9273","154"
"1746756034.636227000","0.942936000","0.942936000","71","296","100.64.0.1","23557","100.64.0.2","56980","244","9517","154"
"1746756034.693616000","1.000325000","1.000325000","72","52","100.64.0.2","56980","100.64.0.1","23557","0","154","3905"
"1746756034.693626000","1.000335000","1.000335000","73","52","100.64.0.2","56980","100.64.0.1","23557","0","154","4881"
"1746756034.697872000","1.004581000","1.004581000","74","296","100.64.0.1","23557","100.64.0.2","56980","244","9761","154"
"1746756034.697893000","1.004602000","1.004602000","75","296","100.64.0.1","23557","100.64.0.2","56980","244","10005","154"
"1746756034.697898000","1.004607000","1.004607000","76","296","100.64.0.1","23557","100.64.0.2","56980","244","10249","154"
"1746756034.697902000","1.004611000","1.004611000","77","296","100.64.0.1","23557","100.64.0.2","56980","244","10493","154"
"1746756034.697906000","1.004615000","1.004615000","78","296","100.64.0.1","23557","100.64.0.2","56980","244","10737","154"
"1746756034.697910000","1.004619000","1.004619000","79","296","100.64.0.1","23557","100.64.0.2","56980","244","10981","154"
"1746756034.697914000","1.004623000","1.004623000","80","296","100.64.0.1","23557","100.64.0.2","56980","244","11225","154"
"1746756034.697918000","1.004627000","1.004627000","81","296","100.64.0.1","23557","100.64.0.2","56980","244","11469","154"
"1746756034.697922000","1.004631000","1.004631000","82","296","100.64.0.1","23557","100.64.0.2","56980","244","11713","154"
"1746756034.697925000","1.004634000","1.004634000","83","296","100.64.0.1","23557","100.64.0.2","56980","244","11957","154"
"1746756034.756725000","1.063434000","1.063434000","84","52","100.64.0.2","56980","100.64.0.1","23557","0","154","5857"
