frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746756472.286200000","0.000000000","0.000000000","1","60","100.64.0.2","42370","100.64.0.1","23557","0","0","0"
"1746756472.291559000","0.005359000","0.005359000","2","60","100.64.0.1","23557","100.64.0.2","42370","0","0","1"
"1746756472.375266000","0.089066000",,"3","76",,,,,,,
"1746756472.375277000","0.089077000",,"4","48",,,,,,,
"1746756472.378236000","0.092036000",,"5","76",,,,,,,
"1746756472.473420000","0.187220000","0.187220000","6","52","100.64.0.2","42370","100.64.0.1","23557","0","1","1"
"1746756472.473437000","0.187237000","0.187237000","7","100","100.64.0.2","42370","100.64.0.1","23557","48","1","1"
"1746756472.473446000","0.187246000","0.187246000","8","100","100.64.0.2","42370","100.64.0.1","23557","48","49","1"
"1746756472.473454000","0.187254000","0.187254000","9","100","100.64.0.2","42370","100.64.0.1","23557","48","97","1"
"1746756472.473461000","0.187261000","0.187261000","10","61","100.64.0.2","42370","100.64.0.1","23557","9","145","1"
"1746756472.477966000","0.191766000","0.191766000","11","52","100.64.0.1","23557","100.64.0.2","42370","0","1","49"
"1746756472.477983000","0.191783000","0.191783000","12","52","100.64.0.1","23557","100.64.0.2","42370","0","1","97"
"1746756472.477988000","0.191788000","0.191788000","13","52","100.64.0.1","23557","100.64.0.2","42370","0","1","145"
"1746756472.477992000","0.191792000","0.191792000","14","52","100.64.0.1","23557","100.64.0.2","42370","0","1","154"
"1746756472.479064000","0.192864000","0.192864000","15","296","100.64.0.1","23557","100.64.0.2","42370","244","1","154"
"1746756472.479075000","0.192875000","0.192875000","16","296","100.64.0.1","23557","100.64.0.2","42370","244","245","154"
"1746756472.479081000","0.192881000","0.192881000","17","296","100.64.0.1","23557","100.64.0.2","42370","244","489","154"
"1746756472.479086000","0.192886000","0.192886000","18","296","100.64.0.1","23557","100.64.0.2","42370","244","733","154"
"1746756472.479092000","0.192892000","0.192892000","19","296","100.64.0.1","23557","100.64.0.2","42370","244","977","154"
"1746756472.479098000","0.192898000","0.192898000","20","296","100.64.0.1","23557","100.64.0.2","42370","244","1221","154"
"1746756472.479103000","0.192903000","0.192903000","21","296","100.64.0.1","23557","100.64.0.2","42370","244","1465","154"
"1746756472.479109000","0.192909000","0.192909000","22","296","100.64.0.1","23557","100.64.0.2","42370","244","1709","154"
"1746756472.479114000","0.192914000","0.192914000","23","296","100.64.0.1","23557","100.64.0.2","42370","244","1953","154"
"1746756472.479120000","0.192920000","0.192920000","24","296","100.64.0.1","23557","100.64.0.2","42370","244","2197","154"
"1746756472.631240000","0.345040000",,"25","76",,,,,,,
"1746756472.661729000","0.375529000","0.375529000","26","52","100.64.0.2","42370","100.64.0.1","23557","0","154","245"
"1746756472.661739000","0.375539000","0.375539000","27","52","100.64.0.2","42370","100.64.0.1","23557","0","154","489"
"1746756472.661743000","0.375543000","0.375543000","28","52","100.64.0.2","42370","100.64.0.1","23557","0","154","733"
"1746756472.661747000","0.375547000","0.375547000","29","52","100.64.0.2","42370","100.64.0.1","23557","0","154","977"
"1746756472.665997000","0.379797000","0.379797000","30","296","100.64.0.1","23557","100.64.0.2","42370","244","2441","154"
"1746756472.666021000","0.379821000","0.379821000","31","296","100.64.0.1","23557","100.64.0.2","42370","244","2685","154"
"1746756472.666025000","0.379825000","0.379825000","32","296","100.64.0.1","23557","100.64.0.2","42370","244","2929","154"
"1746756472.666030000","0.379830000","0.379830000","33","296","100.64.0.1","23557","100.64.0.2","42370","244","3173","154"
"1746756472.666034000","0.379834000","0.379834000","34","296","100.64.0.1","23557","100.64.0.2","42370","244","3417","154"
"1746756472.666038000","0.379838000","0.379838000","35","296","100.64.0.1","23557","100.64.0.2","42370","244","3661","154"
"1746756472.666042000","0.379842000","0.379842000","36","296","100.64.0.1","23557","100.64.0.2","42370","244","3905","154"
"1746756472.666045000","0.379845000","0.379845000","37","296","100.64.0.1","23557","100.64.0.2","42370","244","4149","154"
"1746756472.679254000","0.393054000",,"38","76",,,,,,,
"1746756472.723859000","0.437659000","0.437659000","39","52","100.64.0.2","42370","100.64.0.1","23557","0","154","1221"
"1746756472.723873000","0.437673000","0.437673000","40","52","100.64.0.2","42370","100.64.0.1","23557","0","154","1709"
"1746756472.723881000","0.437681000","0.437681000","41","52","100.64.0.2","42370","100.64.0.1","23557","0","154","1953"
"1746756472.723889000","0.437689000","0.437689000","42","52","100.64.0.2","42370","100.64.0.1","23557","0","154","2197"
"1746756472.728151000","0.441951000","0.441951000","43","296","100.64.0.1","23557","100.64.0.2","42370","244","4393","154"
"1746756472.728166000","0.441966000","0.441966000","44","296","100.64.0.1","23557","100.64.0.2","42370","244","4637","154"
"1746756472.728173000","0.441973000","0.441973000","45","296","100.64.0.1","23557","100.64.0.2","42370","244","4881","154"
"1746756472.728178000","0.441978000","0.441978000","46","296","100.64.0.1","23557","100.64.0.2","42370","244","5125","154"
"1746756472.728183000","0.441983000","0.441983000","47","296","100.64.0.1","23557","100.64.0.2","42370","244","5369","154"
"1746756472.728189000","0.441989000","0.441989000","48","296","100.64.0.1","23557","100.64.0.2","42370","244","5613","154"
"1746756472.728194000","0.441994000","0.441994000","49","296","100.64.0.1","23557","100.64.0.2","42370","244","5857","154"
"1746756472.728200000","0.442000000","0.442000000","50","296","100.64.0.1","23557","100.64.0.2","42370","244","6101","154"
"1746756472.728205000","0.442005000","0.442005000","51","296","100.64.0.1","23557","100.64.0.2","42370","244","6345","154"
"1746756472.728210000","0.442010000","0.442010000","52","296","100.64.0.1","23557","100.64.0.2","42370","244","6589","154"
"1746756472.786620000","0.500420000","0.500420000","53","52","100.64.0.2","42370","100.64.0.1","23557","0","154","2441"
"1746756472.790851000","0.504651000","0.504651000","54","296","100.64.0.1","23557","100.64.0.2","42370","244","6833","154"
"1746756472.790868000","0.504668000","0.504668000","55","296","100.64.0.1","23557","100.64.0.2","42370","244","7077","154"
"1746756472.848644000","0.562444000","0.562444000","56","52","100.64.0.2","42370","100.64.0.1","23557","0","154","2685"
"1746756472.848661000","0.562461000","0.562461000","57","52","100.64.0.2","42370","100.64.0.1","23557","0","154","2929"
"1746756472.848670000","0.562470000","0.562470000","58","52","100.64.0.2","42370","100.64.0.1","23557","0","154","3173"
"1746756472.848680000","0.562480000","0.562480000","59","52","100.64.0.2","42370","100.64.0.1","23557","0","154","3417"
"1746756472.848688000","0.562488000","0.562488000","60","52","100.64.0.2","42370","100.64.0.1","23557","0","154","3661"
"1746756472.852961000","0.566761000","0.566761000","61","296","100.64.0.1","23557","100.64.0.2","42370","244","7321","154"
"1746756472.852979000","0.566779000","0.566779000","62","296","100.64.0.1","23557","100.64.0.2","42370","244","7565","154"
"1746756472.852984000","0.566784000","0.566784000","63","296","100.64.0.1","23557","100.64.0.2","42370","244","7809","154"
"1746756472.852989000","0.566789000","0.566789000","64","296","100.64.0.1","23557","100.64.0.2","42370","244","8053","154"
"1746756472.852993000","0.566793000","0.566793000","65","296","100.64.0.1","23557","100.64.0.2","42370","244","8297","154"
"1746756472.852998000","0.566798000","0.566798000","66","296","100.64.0.1","23557","100.64.0.2","42370","244","8541","154"
"1746756472.853002000","0.566802000","0.566802000","67","296","100.64.0.1","23557","100.64.0.2","42370","244","8785","154"
"1746756472.853007000","0.566807000","0.566807000","68","296","100.64.0.1","23557","100.64.0.2","42370","244","9029","154"
"1746756472.853011000","0.566811000","0.566811000","69","296","100.64.0.1","23557","100.64.0.2","42370","244","9273","154"
"1746756472.853016000","0.566816000","0.566816000","70","296","100.64.0.1","23557","100.64.0.2","42370","244","9517","154"
"1746756472.911942000","0.625742000","0.625742000","71","52","100.64.0.2","42370","100.64.0.1","23557","0","154","3905"
"1746756472.911958000","0.625758000","0.625758000","72","52","100.64.0.2","42370","100.64.0.1","23557","0","154","4393"
"1746756472.911967000","0.625767000","0.625767000","73","52","100.64.0.2","42370","100.64.0.1","23557","0","154","4881"
"1746756472.916237000","0.630037000","0.630037000","74","296","100.64.0.1","23557","100.64.0.2","42370","244","9761","154"
"1746756472.916257000","0.630057000","0.630057000","75","296","100.64.0.1","23557","100.64.0.2","42370","244","10005","154"
"1746756472.916266000","0.630066000","0.630066000","76","296","100.64.0.1","23557","100.64.0.2","42370","244","10249","154"
"1746756472.916277000","0.630077000","0.630077000","77","296","100.64.0.1","23557","100.64.0.2","42370","244","10493","154"
"1746756472.916285000","0.630085000","0.630085000","78","296","100.64.0.1","23557","100.64.0.2","42370","244","10737","154"
"1746756472.916293000","0.630093000","0.630093000","79","296","100.64.0.1","23557","100.64.0.2","42370","244","10981","154"
"1746756472.916299000","0.630099000","0.630099000","80","296","100.64.0.1","23557","100.64.0.2","42370","244","11225","154"
"1746756472.916305000","0.630105000","0.630105000","81","296","100.64.0.1","23557","100.64.0.2","42370","244","11469","154"
"1746756472.916312000","0.630112000","0.630112000","82","296","100.64.0.1","23557","100.64.0.2","42370","244","11713","154"
"1746756472.916319000","0.630119000","0.630119000","83","296","100.64.0.1","23557","100.64.0.2","42370","244","11957","154"
"1746756472.929414000","0.643214000",,"84","76",,,,,,,
"1746756472.929431000","0.643231000",,"85","48",,,,,,,
"1746756472.933338000","0.647138000",,"86","76",,,,,,,
"1746756472.973528000","0.687328000","0.687328000","87","52","100.64.0.2","42370","100.64.0.1","23557","0","154","6101"
"1746756472.977822000","0.691622000","0.691622000","88","296","100.64.0.1","23557","100.64.0.2","42370","244","12201","154"
"1746756472.977842000","0.691642000","0.691642000","89","296","100.64.0.1","23557","100.64.0.2","42370","244","12445","154"
"1746756472.977850000","0.691650000","0.691650000","90","296","100.64.0.1","23557","100.64.0.2","42370","244","12689","154"
"1746756472.977855000","0.691655000","0.691655000","91","296","100.64.0.1","23557","100.64.0.2","42370","244","12933","154"
"1746756472.977861000","0.691661000","0.691661000","92","296","100.64.0.1","23557","100.64.0.2","42370","244","13177","154"
"1746756472.977866000","0.691666000","0.691666000","93","296","100.64.0.1","23557","100.64.0.2","42370","244","13421","154"
"1746756472.977872000","0.691672000","0.691672000","94","296","100.64.0.1","23557","100.64.0.2","42370","244","13665","154"
"1746756472.977879000","0.691679000","0.691679000","95","296","100.64.0.1","23557","100.64.0.2","42370","244","13909","154"
"1746756472.977889000","0.691689000","0.691689000","96","296","100.64.0.1","23557","100.64.0.2","42370","244","14153","154"
"1746756472.977894000","0.691694000","0.691694000","97","296","100.64.0.1","23557","100.64.0.2","42370","244","14397","154"
"1746756473.002337000","0.716137000",,"98","76",,,,,,,
"1746756473.036629000","0.750429000","0.750429000","99","52","100.64.0.2","42370","100.64.0.1","23557","0","154","7321"
"1746756473.040951000","0.754751000","0.754751000","100","296","100.64.0.1","23557","100.64.0.2","42370","244","14641","154"
"1746756473.040970000","0.754770000","0.754770000","101","296","100.64.0.1","23557","100.64.0.2","42370","244","14885","154"
"1746756473.040976000","0.754776000","0.754776000","102","296","100.64.0.1","23557","100.64.0.2","42370","244","15129","154"
"1746756473.040982000","0.754782000","0.754782000","103","296","100.64.0.1","23557","100.64.0.2","42370","244","15373","154"
"1746756473.040988000","0.754788000","0.754788000","104","296","100.64.0.1","23557","100.64.0.2","42370","244","15617","154"
"1746756473.040993000","0.754793000","0.754793000","105","296","100.64.0.1","23557","100.64.0.2","42370","244","15861","154"
"1746756473.040998000","0.754798000","0.754798000","106","296","100.64.0.1","23557","100.64.0.2","42370","244","16105","154"
"1746756473.041004000","0.754804000","0.754804000","107","296","100.64.0.1","23557","100.64.0.2","42370","244","16349","154"
"1746756473.041010000","0.754810000","0.754810000","108","296","100.64.0.1","23557","100.64.0.2","42370","244","16593","154"
"1746756473.041015000","0.754815000","0.754815000","109","296","100.64.0.1","23557","100.64.0.2","42370","244","16837","154"
"1746756473.098829000","0.812629000","0.812629000","110","52","100.64.0.2","42370","100.64.0.1","23557","0","154","8541"
"1746756473.102092000","0.815892000","0.815892000","111","296","100.64.0.1","23557","100.64.0.2","42370","244","17081","154"
"1746756473.102107000","0.815907000","0.815907000","112","296","100.64.0.1","23557","100.64.0.2","42370","244","17325","154"
"1746756473.102113000","0.815913000","0.815913000","113","296","100.64.0.1","23557","100.64.0.2","42370","244","17569","154"
"1746756473.102119000","0.815919000","0.815919000","114","296","100.64.0.1","23557","100.64.0.2","42370","244","17813","154"
"1746756473.103186000","0.816986000","0.816986000","115","296","100.64.0.1","23557","100.64.0.2","42370","244","18057","154"
"1746756473.103194000","0.816994000","0.816994000","116","296","100.64.0.1","23557","100.64.0.2","42370","244","18301","154"
"1746756473.103200000","0.817000000","0.817000000","117","296","100.64.0.1","23557","100.64.0.2","42370","244","18545","154"
"1746756473.103206000","0.817006000","0.817006000","118","296","100.64.0.1","23557","100.64.0.2","42370","244","18789","154"
"1746756473.103211000","0.817011000","0.817011000","119","296","100.64.0.1","23557","100.64.0.2","42370","244","19033","154"
"1746756473.103226000","0.817026000","0.817026000","120","296","100.64.0.1","23557","100.64.0.2","42370","244","19277","154"
"1746756473.161498000","0.875298000","0.875298000","121","52","100.64.0.2","42370","100.64.0.1","23557","0","154","9761"
"1746756473.165793000","0.879593000","0.879593000","122","296","100.64.0.1","23557","100.64.0.2","42370","244","19521","154"
"1746756473.165809000","0.879609000","0.879609000","123","296","100.64.0.1","23557","100.64.0.2","42370","244","19765","154"
"1746756473.165816000","0.879616000","0.879616000","124","296","100.64.0.1","23557","100.64.0.2","42370","244","20009","154"
"1746756473.165822000","0.879622000","0.879622000","125","296","100.64.0.1","23557","100.64.0.2","42370","244","20253","154"
"1746756473.165827000","0.879627000","0.879627000","126","296","100.64.0.1","23557","100.64.0.2","42370","244","20497","154"
"1746756473.165833000","0.879633000","0.879633000","127","296","100.64.0.1","23557","100.64.0.2","42370","244","20741","154"
"1746756473.165838000","0.879638000","0.879638000","128","296","100.64.0.1","23557","100.64.0.2","42370","244","20985","154"
"1746756473.165844000","0.879644000","0.879644000","129","296","100.64.0.1","23557","100.64.0.2","42370","244","21229","154"
"1746756473.165849000","0.879649000","0.879649000","130","296","100.64.0.1","23557","100.64.0.2","42370","244","21473","154"
"1746756473.165855000","0.879655000","0.879655000","131","296","100.64.0.1","23557","100.64.0.2","42370","244","21717","154"
"1746756473.185356000","0.899156000",,"132","76",,,,,,,
"1746756473.223642000","0.937442000","0.937442000","133","52","100.64.0.2","42370","100.64.0.1","23557","0","154","10981"
"1746756473.227919000","0.941719000","0.941719000","134","296","100.64.0.1","23557","100.64.0.2","42370","244","21961","154"
"1746756473.227946000","0.941746000","0.941746000","135","296","100.64.0.1","23557","100.64.0.2","42370","244","22205","154"
"1746756473.227953000","0.941753000","0.941753000","136","296","100.64.0.1","23557","100.64.0.2","42370","244","22449","154"
"1746756473.227959000","0.941759000","0.941759000","137","296","100.64.0.1","23557","100.64.0.2","42370","244","22693","154"
"1746756473.227964000","0.941764000","0.941764000","138","296","100.64.0.1","23557","100.64.0.2","42370","244","22937","154"
"1746756473.227970000","0.941770000","0.941770000","139","296","100.64.0.1","23557","100.64.0.2","42370","244","23181","154"
"1746756473.227975000","0.941775000","0.941775000","140","296","100.64.0.1","23557","100.64.0.2","42370","244","23425","154"
"1746756473.227981000","0.941781000","0.941781000","141","296","100.64.0.1","23557","100.64.0.2","42370","244","23669","154"
"1746756473.227987000","0.941787000","0.941787000","142","296","100.64.0.1","23557","100.64.0.2","42370","244","23913","154"
"1746756473.227992000","0.941792000","0.941792000","143","296","100.64.0.1","23557","100.64.0.2","42370","244","24157","154"
"1746756473.286793000","1.000593000","1.000593000","144","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.290066000","1.003866000","1.003866000","145","296","100.64.0.1","23557","100.64.0.2","42370","244","24401","154"
"1746756473.290081000","1.003881000","1.003881000","146","296","100.64.0.1","23557","100.64.0.2","42370","244","24645","154"
"1746756473.290088000","1.003888000","1.003888000","147","296","100.64.0.1","23557","100.64.0.2","42370","244","24889","154"
"1746756473.290093000","1.003893000","1.003893000","148","296","100.64.0.1","23557","100.64.0.2","42370","244","25133","154"
"1746756473.290099000","1.003899000","1.003899000","149","296","100.64.0.1","23557","100.64.0.2","42370","244","25377","154"
"1746756473.291167000","1.004967000","1.004967000","150","296","100.64.0.1","23557","100.64.0.2","42370","244","25621","154"
"1746756473.348497000","1.062297000","1.062297000","151","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.348518000","1.062318000","1.062318000","152","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.348530000","1.062330000","1.062330000","153","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.348543000","1.062343000","1.062343000","154","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.348554000","1.062354000","1.062354000","155","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.352775000","1.066575000","1.066575000","156","296","100.64.0.1","23557","100.64.0.2","42370","244","25865","154"
"1746756473.352788000","1.066588000","1.066588000","157","296","100.64.0.1","23557","100.64.0.2","42370","244","11713","154"
"1746756473.352794000","1.066594000","1.066594000","158","296","100.64.0.1","23557","100.64.0.2","42370","244","26109","154"
"1746756473.352800000","1.066600000","1.066600000","159","296","100.64.0.1","23557","100.64.0.2","42370","244","26353","154"
"1746756473.411691000","1.125491000","1.125491000","160","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.411705000","1.125505000","1.125505000","161","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.411712000","1.125512000","1.125512000","162","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.411718000","1.125518000","1.125518000","163","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.411724000","1.125524000","1.125524000","164","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.416027000","1.129827000","1.129827000","165","296","100.64.0.1","23557","100.64.0.2","42370","244","26597","154"
"1746756473.416040000","1.129840000","1.129840000","166","296","100.64.0.1","23557","100.64.0.2","42370","244","26841","154"
"1746756473.416046000","1.129846000","1.129846000","167","296","100.64.0.1","23557","100.64.0.2","42370","244","27085","154"
"1746756473.416052000","1.129852000","1.129852000","168","296","100.64.0.1","23557","100.64.0.2","42370","244","27329","154"
"1746756473.416058000","1.129858000","1.129858000","169","296","100.64.0.1","23557","100.64.0.2","42370","244","27573","154"
"1746756473.473781000","1.187581000","1.187581000","170","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.473793000","1.187593000","1.187593000","171","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.473800000","1.187600000","1.187600000","172","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.473806000","1.187606000","1.187606000","173","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.473813000","1.187613000","1.187613000","174","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.478077000","1.191877000","1.191877000","175","296","100.64.0.1","23557","100.64.0.2","42370","244","27817","154"
"1746756473.478097000","1.191897000","1.191897000","176","296","100.64.0.1","23557","100.64.0.2","42370","244","28061","154"
"1746756473.478102000","1.191902000","1.191902000","177","296","100.64.0.1","23557","100.64.0.2","42370","244","28305","154"
"1746756473.478107000","1.191907000","1.191907000","178","296","100.64.0.1","23557","100.64.0.2","42370","244","28549","154"
"1746756473.536532000","1.250332000","1.250332000","179","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.536546000","1.250346000","1.250346000","180","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.536553000","1.250353000","1.250353000","181","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.536559000","1.250359000","1.250359000","182","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.536564000","1.250364000","1.250364000","183","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.540843000","1.254643000","1.254643000","184","296","100.64.0.1","23557","100.64.0.2","42370","244","28793","154"
"1746756473.540857000","1.254657000","1.254657000","185","296","100.64.0.1","23557","100.64.0.2","42370","244","29037","154"
"1746756473.540863000","1.254663000","1.254663000","186","296","100.64.0.1","23557","100.64.0.2","42370","244","29281","154"
"1746756473.540869000","1.254669000","1.254669000","187","296","100.64.0.1","23557","100.64.0.2","42370","244","29525","154"
"1746756473.598671000","1.312471000","1.312471000","188","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.598683000","1.312483000","1.312483000","189","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.598689000","1.312489000","1.312489000","190","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.598694000","1.312494000","1.312494000","191","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.598699000","1.312499000","1.312499000","192","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.602988000","1.316788000","1.316788000","193","296","100.64.0.1","23557","100.64.0.2","42370","244","29769","154"
"1746756473.603002000","1.316802000","1.316802000","194","296","100.64.0.1","23557","100.64.0.2","42370","244","30013","154"
"1746756473.603008000","1.316808000","1.316808000","195","296","100.64.0.1","23557","100.64.0.2","42370","244","30257","154"
"1746756473.603014000","1.316814000","1.316814000","196","296","100.64.0.1","23557","100.64.0.2","42370","244","30501","154"
"1746756473.603019000","1.316819000","1.316819000","197","296","100.64.0.1","23557","100.64.0.2","42370","244","30745","154"
"1746756473.661872000","1.375672000","1.375672000","198","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.661885000","1.375685000","1.375685000","199","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.661892000","1.375692000","1.375692000","200","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.661898000","1.375698000","1.375698000","201","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11713"
"1746756473.661904000","1.375704000","1.375704000","202","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11957"
"1746756473.666137000","1.379937000","1.379937000","203","296","100.64.0.1","23557","100.64.0.2","42370","244","30989","154"
"1746756473.666158000","1.379958000","1.379958000","204","296","100.64.0.1","23557","100.64.0.2","42370","244","31233","154"
"1746756473.666164000","1.379964000","1.379964000","205","296","100.64.0.1","23557","100.64.0.2","42370","244","31477","154"
"1746756473.723513000","1.437313000","1.437313000","206","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11957"
"1746756473.723527000","1.437327000","1.437327000","207","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11957"
"1746756473.723533000","1.437333000","1.437333000","208","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11957"
"1746756473.723540000","1.437340000","1.437340000","209","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11957"
"1746756473.723546000","1.437346000","1.437346000","210","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11957"
"1746756473.727778000","1.441578000","1.441578000","211","296","100.64.0.1","23557","100.64.0.2","42370","244","11957","154"
"1746756473.727795000","1.441595000","1.441595000","212","296","100.64.0.1","23557","100.64.0.2","42370","244","31721","154"
"1746756473.727802000","1.441602000","1.441602000","213","296","100.64.0.1","23557","100.64.0.2","42370","244","31965","154"
"1746756473.727808000","1.441608000","1.441608000","214","296","100.64.0.1","23557","100.64.0.2","42370","244","32209","154"
"1746756473.727814000","1.441614000","1.441614000","215","296","100.64.0.1","23557","100.64.0.2","42370","244","32453","154"
"1746756473.786603000","1.500403000","1.500403000","216","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11957"
"1746756473.786618000","1.500418000","1.500418000","217","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11957"
"1746756473.786625000","1.500425000","1.500425000","218","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11957"
"1746756473.786631000","1.500431000","1.500431000","219","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11957"
"1746756473.786637000","1.500437000","1.500437000","220","52","100.64.0.2","42370","100.64.0.1","23557","0","154","11957"
"1746756473.790872000","1.504672000","1.504672000","221","296","100.64.0.1","23557","100.64.0.2","42370","244","32697","154"
"1746756473.790888000","1.504688000","1.504688000","222","296","100.64.0.1","23557","100.64.0.2","42370","244","32941","154"
"1746756473.790894000","1.504694000","1.504694000","223","296","100.64.0.1","23557","100.64.0.2","42370","244","33185","154"
