frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746756371.107865000","0.000000000","0.000000000","1","60","100.64.0.2","58924","100.64.0.1","23557","0","0","0"
"1746756371.112659000","0.004794000","0.004794000","2","60","100.64.0.1","23557","100.64.0.2","58924","0","0","1"
"1746756371.420451000","0.312586000","0.312586000","3","52","100.64.0.2","58924","100.64.0.1","23557","0","1","1"
"1746756371.420463000","0.312598000","0.312598000","4","100","100.64.0.2","58924","100.64.0.1","23557","48","1","1"
"1746756371.420467000","0.312602000","0.312602000","5","100","100.64.0.2","58924","100.64.0.1","23557","48","49","1"
"1746756371.420470000","0.312605000","0.312605000","6","100","100.64.0.2","58924","100.64.0.1","23557","48","97","1"
"1746756371.420474000","0.312609000","0.312609000","7","61","100.64.0.2","58924","100.64.0.1","23557","9","145","1"
"1746756371.424840000","0.316975000","0.316975000","8","52","100.64.0.1","23557","100.64.0.2","58924","0","1","49"
"1746756371.424858000","0.316993000","0.316993000","9","52","100.64.0.1","23557","100.64.0.2","58924","0","1","97"
"1746756371.424862000","0.316997000","0.316997000","10","52","100.64.0.1","23557","100.64.0.2","58924","0","1","145"
"1746756371.424865000","0.317000000","0.317000000","11","52","100.64.0.1","23557","100.64.0.2","58924","0","1","154"
"1746756371.425932000","0.318067000","0.318067000","12","296","100.64.0.1","23557","100.64.0.2","58924","244","1","154"
"1746756371.425945000","0.318080000","0.318080000","13","296","100.64.0.1","23557","100.64.0.2","58924","244","245","154"
"1746756371.425949000","0.318084000","0.318084000","14","296","100.64.0.1","23557","100.64.0.2","58924","244","489","154"
"1746756371.425952000","0.318087000","0.318087000","15","296","100.64.0.1","23557","100.64.0.2","58924","244","733","154"
"1746756371.425955000","0.318090000","0.318090000","16","296","100.64.0.1","23557","100.64.0.2","58924","244","977","154"
"1746756371.425958000","0.318093000","0.318093000","17","296","100.64.0.1","23557","100.64.0.2","58924","244","1221","154"
"1746756371.425961000","0.318096000","0.318096000","18","296","100.64.0.1","23557","100.64.0.2","58924","244","1465","154"
"1746756371.425964000","0.318099000","0.318099000","19","296","100.64.0.1","23557","100.64.0.2","58924","244","1709","154"
"1746756371.425967000","0.318102000","0.318102000","20","296","100.64.0.1","23557","100.64.0.2","58924","244","1953","154"
"1746756371.425970000","0.318105000","0.318105000","21","296","100.64.0.1","23557","100.64.0.2","58924","244","2197","154"
"1746756371.489324000","0.381459000",,"22","76",,,,,,,
"1746756371.615288000","0.507423000",,"23","76",,,,,,,
"1746756371.615306000","0.507441000",,"24","48",,,,,,,
"1746756371.617406000","0.509541000",,"25","76",,,,,,,
"1746756371.619236000","0.511371000",,"26","76",,,,,,,
"1746756371.678243000","0.570378000",,"27","76",,,,,,,
"1746756371.732806000","0.624941000","0.624941000","28","52","100.64.0.2","58924","100.64.0.1","23557","0","154","245"
"1746756371.732817000","0.624952000","0.624952000","29","52","100.64.0.2","58924","100.64.0.1","23557","0","154","733"
"1746756371.732822000","0.624957000","0.624957000","30","52","100.64.0.2","58924","100.64.0.1","23557","0","154","977"
"1746756371.737064000","0.629199000","0.629199000","31","296","100.64.0.1","23557","100.64.0.2","58924","244","2441","154"
"1746756371.737081000","0.629216000","0.629216000","32","296","100.64.0.1","23557","100.64.0.2","58924","244","2685","154"
"1746756371.737085000","0.629220000","0.629220000","33","296","100.64.0.1","23557","100.64.0.2","58924","244","2929","154"
"1746756371.737089000","0.629224000","0.629224000","34","296","100.64.0.1","23557","100.64.0.2","58924","244","3173","154"
"1746756371.737094000","0.629229000","0.629229000","35","296","100.64.0.1","23557","100.64.0.2","58924","244","3417","154"
"1746756371.737097000","0.629232000","0.629232000","36","296","100.64.0.1","23557","100.64.0.2","58924","244","3661","154"
"1746756371.737101000","0.629236000","0.629236000","37","296","100.64.0.1","23557","100.64.0.2","58924","244","3905","154"
"1746756371.737105000","0.629240000","0.629240000","38","296","100.64.0.1","23557","100.64.0.2","58924","244","4149","154"
"1746756371.795950000","0.688085000","0.688085000","39","52","100.64.0.2","58924","100.64.0.1","23557","0","154","1221"
"1746756371.795962000","0.688097000","0.688097000","40","52","100.64.0.2","58924","100.64.0.1","23557","0","154","1465"
"1746756371.795968000","0.688103000","0.688103000","41","52","100.64.0.2","58924","100.64.0.1","23557","0","154","1953"
"1746756371.795975000","0.688110000","0.688110000","42","52","100.64.0.2","58924","100.64.0.1","23557","0","154","2197"
"1746756371.800225000","0.692360000","0.692360000","43","296","100.64.0.1","23557","100.64.0.2","58924","244","4393","154"
"1746756371.800236000","0.692371000","0.692371000","44","296","100.64.0.1","23557","100.64.0.2","58924","244","4637","154"
"1746756371.800240000","0.692375000","0.692375000","45","296","100.64.0.1","23557","100.64.0.2","58924","244","4881","154"
"1746756371.800244000","0.692379000","0.692379000","46","296","100.64.0.1","23557","100.64.0.2","58924","244","5125","154"
"1746756371.800248000","0.692383000","0.692383000","47","296","100.64.0.1","23557","100.64.0.2","58924","244","5369","154"
"1746756371.800252000","0.692387000","0.692387000","48","296","100.64.0.1","23557","100.64.0.2","58924","244","5613","154"
"1746756371.800256000","0.692391000","0.692391000","49","296","100.64.0.1","23557","100.64.0.2","58924","244","5857","154"
"1746756371.800259000","0.692394000","0.692394000","50","296","100.64.0.1","23557","100.64.0.2","58924","244","6101","154"
"1746756371.800263000","0.692398000","0.692398000","51","296","100.64.0.1","23557","100.64.0.2","58924","244","6345","154"
"1746756371.800267000","0.692402000","0.692402000","52","296","100.64.0.1","23557","100.64.0.2","58924","244","6589","154"
"1746756371.857337000","0.749472000","0.749472000","53","52","100.64.0.2","58924","100.64.0.1","23557","0","154","2441"
"1746756371.861566000","0.753701000","0.753701000","54","296","100.64.0.1","23557","100.64.0.2","58924","244","6833","154"
"1746756371.861578000","0.753713000","0.753713000","55","296","100.64.0.1","23557","100.64.0.2","58924","244","7077","154"
"1746756372.045142000","0.937277000","0.937277000","56","52","100.64.0.2","58924","100.64.0.1","23557","0","154","2685"
"1746756372.045155000","0.937290000","0.937290000","57","52","100.64.0.2","58924","100.64.0.1","23557","0","154","2929"
"1746756372.045161000","0.937296000","0.937296000","58","52","100.64.0.2","58924","100.64.0.1","23557","0","154","3173"
"1746756372.045167000","0.937302000","0.937302000","59","52","100.64.0.2","58924","100.64.0.1","23557","0","154","3417"
"1746756372.045173000","0.937308000","0.937308000","60","52","100.64.0.2","58924","100.64.0.1","23557","0","154","3661"
"1746756372.049369000","0.941504000","0.941504000","61","296","100.64.0.1","23557","100.64.0.2","58924","244","7321","154"
"1746756372.049387000","0.941522000","0.941522000","62","296","100.64.0.1","23557","100.64.0.2","58924","244","7565","154"
"1746756372.049392000","0.941527000","0.941527000","63","296","100.64.0.1","23557","100.64.0.2","58924","244","7809","154"
"1746756372.049396000","0.941531000","0.941531000","64","296","100.64.0.1","23557","100.64.0.2","58924","244","8053","154"
"1746756372.049400000","0.941535000","0.941535000","65","296","100.64.0.1","23557","100.64.0.2","58924","244","8297","154"
