frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746756843.587190000","0.000000000","0.000000000","1","60","100.64.0.2","36114","100.64.0.1","23557","0","0","0"
"1746756843.592956000","0.005766000","0.005766000","2","60","100.64.0.1","23557","100.64.0.2","36114","0","0","1"
"1746756843.900834000","0.313644000","0.313644000","3","52","100.64.0.2","36114","100.64.0.1","23557","0","1","1"
"1746756843.900847000","0.313657000","0.313657000","4","100","100.64.0.2","36114","100.64.0.1","23557","48","1","1"
"1746756843.900854000","0.313664000","0.313664000","5","100","100.64.0.2","36114","100.64.0.1","23557","48","49","1"
"1746756843.900860000","0.313670000","0.313670000","6","100","100.64.0.2","36114","100.64.0.1","23557","48","97","1"
"1746756843.900867000","0.313677000","0.313677000","7","61","100.64.0.2","36114","100.64.0.1","23557","9","145","1"
"1746756843.905170000","0.317980000","0.317980000","8","52","100.64.0.1","23557","100.64.0.2","36114","0","1","49"
"1746756843.905183000","0.317993000","0.317993000","9","52","100.64.0.1","23557","100.64.0.2","36114","0","1","97"
"1746756843.905188000","0.317998000","0.317998000","10","52","100.64.0.1","23557","100.64.0.2","36114","0","1","145"
"1746756843.905193000","0.318003000","0.318003000","11","52","100.64.0.1","23557","100.64.0.2","36114","0","1","154"
"1746756843.906233000","0.319043000","0.319043000","12","296","100.64.0.1","23557","100.64.0.2","36114","244","1","154"
"1746756843.906250000","0.319060000","0.319060000","13","296","100.64.0.1","23557","100.64.0.2","36114","244","245","154"
"1746756843.906256000","0.319066000","0.319066000","14","296","100.64.0.1","23557","100.64.0.2","36114","244","489","154"
"1746756843.906262000","0.319072000","0.319072000","15","296","100.64.0.1","23557","100.64.0.2","36114","244","733","154"
"1746756843.906267000","0.319077000","0.319077000","16","296","100.64.0.1","23557","100.64.0.2","36114","244","977","154"
"1746756843.906273000","0.319083000","0.319083000","17","296","100.64.0.1","23557","100.64.0.2","36114","244","1221","154"
"1746756843.906278000","0.319088000","0.319088000","18","296","100.64.0.1","23557","100.64.0.2","36114","244","1465","154"
"1746756843.906284000","0.319094000","0.319094000","19","296","100.64.0.1","23557","100.64.0.2","36114","244","1709","154"
"1746756843.906289000","0.319099000","0.319099000","20","296","100.64.0.1","23557","100.64.0.2","36114","244","1953","154"
"1746756843.906295000","0.319105000","0.319105000","21","296","100.64.0.1","23557","100.64.0.2","36114","244","2197","154"
"1746756844.063259000","0.476069000",,"22","76",,,,,,,
"1746756844.063270000","0.476080000",,"23","48",,,,,,,
"1746756844.067227000","0.480037000",,"24","76",,,,,,,
"1746756844.193407000","0.606217000",,"25","76",,,,,,,
"1746756844.193429000","0.606239000",,"26","48",,,,,,,
"1746756844.196311000","0.609121000",,"27","76",,,,,,,
