frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746756269.698262000","0.000000000",,"1","76",,,,,,,
"1746756269.698278000","0.000016000",,"2","48",,,,,,,
"1746756269.700343000","0.002081000",,"3","76",,,,,,,
"1746756269.759258000","0.060996000",,"4","76",,,,,,,
"1746756269.759270000","0.061008000",,"5","48",,,,,,,
"1746756269.763231000","0.064969000",,"6","76",,,,,,,
"1746756269.807268000","0.109006000","0.000000000","7","60","100.64.0.2","57740","100.64.0.1","23557","0","0","0"
"1746756269.811513000","0.113251000","0.004245000","8","60","100.64.0.1","23557","100.64.0.2","57740","0","0","1"
"1746756269.898365000","0.200103000",,"9","76",,,,,,,
"1746756269.994136000","0.295874000","0.186868000","10","52","100.64.0.2","57740","100.64.0.1","23557","0","1","1"
"1746756269.994150000","0.295888000","0.186882000","11","100","100.64.0.2","57740","100.64.0.1","23557","48","1","1"
"1746756269.994157000","0.295895000","0.186889000","12","100","100.64.0.2","57740","100.64.0.1","23557","48","49","1"
"1746756269.994163000","0.295901000","0.186895000","13","100","100.64.0.2","57740","100.64.0.1","23557","48","97","1"
"1746756269.994169000","0.295907000","0.186901000","14","61","100.64.0.2","57740","100.64.0.1","23557","9","145","1"
"1746756269.998480000","0.300218000","0.191212000","15","52","100.64.0.1","23557","100.64.0.2","57740","0","1","49"
"1746756269.998492000","0.300230000","0.191224000","16","52","100.64.0.1","23557","100.64.0.2","57740","0","1","97"
"1746756269.998497000","0.300235000","0.191229000","17","52","100.64.0.1","23557","100.64.0.2","57740","0","1","145"
"1746756269.998502000","0.300240000","0.191234000","18","52","100.64.0.1","23557","100.64.0.2","57740","0","1","154"
"1746756269.999568000","0.301306000","0.192300000","19","296","100.64.0.1","23557","100.64.0.2","57740","244","1","154"
"1746756269.999575000","0.301313000","0.192307000","20","296","100.64.0.1","23557","100.64.0.2","57740","244","245","154"
"1746756269.999581000","0.301319000","0.192313000","21","296","100.64.0.1","23557","100.64.0.2","57740","244","489","154"
"1746756269.999587000","0.301325000","0.192319000","22","296","100.64.0.1","23557","100.64.0.2","57740","244","733","154"
"1746756269.999592000","0.301330000","0.192324000","23","296","100.64.0.1","23557","100.64.0.2","57740","244","977","154"
"1746756269.999598000","0.301336000","0.192330000","24","296","100.64.0.1","23557","100.64.0.2","57740","244","1221","154"
"1746756269.999603000","0.301341000","0.192335000","25","296","100.64.0.1","23557","100.64.0.2","57740","244","1465","154"
"1746756269.999609000","0.301347000","0.192341000","26","296","100.64.0.1","23557","100.64.0.2","57740","244","1709","154"
"1746756269.999614000","0.301352000","0.192346000","27","296","100.64.0.1","23557","100.64.0.2","57740","244","1953","154"
"1746756269.999621000","0.301359000","0.192353000","28","296","100.64.0.1","23557","100.64.0.2","57740","244","2197","154"
"1746756270.015251000","0.316989000",,"29","76",,,,,,,
"1746756270.182433000","0.484171000","0.375165000","30","52","100.64.0.2","57740","100.64.0.1","23557","0","154","245"
"1746756270.182445000","0.484183000","0.375177000","31","52","100.64.0.2","57740","100.64.0.1","23557","0","154","489"
"1746756270.182452000","0.484190000","0.375184000","32","52","100.64.0.2","57740","100.64.0.1","23557","0","154","733"
"1746756270.182458000","0.484196000","0.375190000","33","52","100.64.0.2","57740","100.64.0.1","23557","0","154","977"
"1746756270.186809000","0.488547000","0.379541000","34","296","100.64.0.1","23557","100.64.0.2","57740","244","2441","154"
"1746756270.186821000","0.488559000","0.379553000","35","296","100.64.0.1","23557","100.64.0.2","57740","244","2685","154"
"1746756270.186826000","0.488564000","0.379558000","36","296","100.64.0.1","23557","100.64.0.2","57740","244","2929","154"
"1746756270.186831000","0.488569000","0.379563000","37","296","100.64.0.1","23557","100.64.0.2","57740","244","3173","154"
"1746756270.186836000","0.488574000","0.379568000","38","296","100.64.0.1","23557","100.64.0.2","57740","244","3417","154"
"1746756270.186840000","0.488578000","0.379572000","39","296","100.64.0.1","23557","100.64.0.2","57740","244","3661","154"
"1746756270.186845000","0.488583000","0.379577000","40","296","100.64.0.1","23557","100.64.0.2","57740","244","3905","154"
"1746756270.186849000","0.488587000","0.379581000","41","296","100.64.0.1","23557","100.64.0.2","57740","244","4149","154"
"1746756270.193323000","0.495061000",,"42","76",,,,,,,
"1746756270.215245000","0.516983000",,"43","76",,,,,,,
"1746756270.244556000","0.546294000","0.437288000","44","52","100.64.0.2","57740","100.64.0.1","23557","0","154","1221"
"1746756270.244568000","0.546306000","0.437300000","45","52","100.64.0.2","57740","100.64.0.1","23557","0","154","1465"
"1746756270.244575000","0.546313000","0.437307000","46","52","100.64.0.2","57740","100.64.0.1","23557","0","154","1709"
"1746756270.244581000","0.546319000","0.437313000","47","52","100.64.0.2","57740","100.64.0.1","23557","0","154","1953"
