frame.time_epoch,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"1746756100.999247000","0.000000000",,"1","76",,,,,,,
"1746756100.999255000","0.000008000",,"2","48",,,,,,,
"1746756101.002327000","0.003080000",,"3","76",,,,,,,
"1746756101.122381000","0.123134000","0.000000000","4","60","100.64.0.2","54536","100.64.0.1","23557","0","0","0"
"1746756101.127488000","0.128241000","0.005107000","5","60","100.64.0.1","23557","100.64.0.2","54536","0","0","1"
"1746756101.409421000","0.410174000",,"6","76",,,,,,,
"1746756101.409437000","0.410190000",,"7","48",,,,,,,
"1746756101.412320000","0.413073000",,"8","76",,,,,,,
"1746756101.435817000","0.436570000","0.313436000","9","52","100.64.0.2","54536","100.64.0.1","23557","0","1","1"
"1746756101.435830000","0.436583000","0.313449000","10","100","100.64.0.2","54536","100.64.0.1","23557","48","1","1"
"1746756101.435837000","0.436590000","0.313456000","11","100","100.64.0.2","54536","100.64.0.1","23557","48","49","1"
"1746756101.435843000","0.436596000","0.313462000","12","100","100.64.0.2","54536","100.64.0.1","23557","48","97","1"
"1746756101.435849000","0.436602000","0.313468000","13","61","100.64.0.2","54536","100.64.0.1","23557","9","145","1"
"1746756101.440323000","0.441076000","0.317942000","14","52","100.64.0.1","23557","100.64.0.2","54536","0","1","49"
"1746756101.440338000","0.441091000","0.317957000","15","52","100.64.0.1","23557","100.64.0.2","54536","0","1","97"
"1746756101.440343000","0.441096000","0.317962000","16","52","100.64.0.1","23557","100.64.0.2","54536","0","1","145"
"1746756101.440348000","0.441101000","0.317967000","17","52","100.64.0.1","23557","100.64.0.2","54536","0","1","154"
"1746756101.441415000","0.442168000","0.319034000","18","296","100.64.0.1","23557","100.64.0.2","54536","244","1","154"
"1746756101.441422000","0.442175000","0.319041000","19","296","100.64.0.1","23557","100.64.0.2","54536","244","245","154"
"1746756101.441428000","0.442181000","0.319047000","20","296","100.64.0.1","23557","100.64.0.2","54536","244","489","154"
"1746756101.441433000","0.442186000","0.319052000","21","296","100.64.0.1","23557","100.64.0.2","54536","244","733","154"
"1746756101.441439000","0.442192000","0.319058000","22","296","100.64.0.1","23557","100.64.0.2","54536","244","977","154"
"1746756101.441445000","0.442198000","0.319064000","23","296","100.64.0.1","23557","100.64.0.2","54536","244","1221","154"
"1746756101.441450000","0.442203000","0.319069000","24","296","100.64.0.1","23557","100.64.0.2","54536","244","1465","154"
"1746756101.441456000","0.442209000","0.319075000","25","296","100.64.0.1","23557","100.64.0.2","54536","244","1709","154"
"1746756101.441461000","0.442214000","0.319080000","26","296","100.64.0.1","23557","100.64.0.2","54536","244","1953","154"
"1746756101.441467000","0.442220000","0.319086000","27","296","100.64.0.1","23557","100.64.0.2","54536","244","2197","154"
"1746756101.689449000","0.690202000",,"28","76",,,,,,,
"1746756101.727247000","0.728000000",,"29","76",,,,,,,
"1746756101.747942000","0.748695000","0.625561000","30","52","100.64.0.2","54536","100.64.0.1","23557","0","154","245"
"1746756101.747958000","0.748711000","0.625577000","31","52","100.64.0.2","54536","100.64.0.1","23557","0","154","489"
"1746756101.747966000","0.748719000","0.625585000","32","52","100.64.0.2","54536","100.64.0.1","23557","0","154","733"
"1746756101.747974000","0.748727000","0.625593000","33","52","100.64.0.2","54536","100.64.0.1","23557","0","154","977"
"1746756101.752239000","0.752992000","0.629858000","34","296","100.64.0.1","23557","100.64.0.2","54536","244","2441","154"
"1746756101.752256000","0.753009000","0.629875000","35","296","100.64.0.1","23557","100.64.0.2","54536","244","2685","154"
"1746756101.752264000","0.753017000","0.629883000","36","296","100.64.0.1","23557","100.64.0.2","54536","244","2929","154"
"1746756101.752271000","0.753024000","0.629890000","37","296","100.64.0.1","23557","100.64.0.2","54536","244","3173","154"
"1746756101.752278000","0.753031000","0.629897000","38","296","100.64.0.1","23557","100.64.0.2","54536","244","3417","154"
"1746756101.752285000","0.753038000","0.629904000","39","296","100.64.0.1","23557","100.64.0.2","54536","244","3661","154"
